Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Tue Jun 27 14:50:17 +0000 2017	|	Senator Bob Menendez	|	18695134	|	879713499542429696	|	null	|	The Republicans' #HealthcareBill would set back our fight to overcome the #opioidcrisis. Going LIVE at approx. 11:1… https://t.co/tExpqdyCqW	|	$#%
2	|	Tue Jun 27 14:55:35 +0000 2017	|	Chris Murphy	|	150078976	|	879714832660013057	|	null	|	There is no anxiety or fear or sadness you feel about what's happening in America today that cannot be cured by pol… https://t.co/KyvEmWLNcW	|	$#%
3	|	Tue Jun 27 14:55:50 +0000 2017	|	Sen. Jeanne Shaheen	|	109287731	|	879714897617137665	|	null	|	W/reports of cyber-attacks on Ukranian energy co's, Trump admin must act to protect US energy infrastructure… https://t.co/fGlfCh5P10	|	$#%
4	|	Tue Jun 27 14:56:46 +0000 2017	|	Senator Bob Casey	|	171598736	|	879715131982315521	|	null	|	Because those people making $875,000 have really been struggling and could use a break. 🙄 https://t.co/bWF0xoleM2	|	$#%
5	|	Tue Jun 27 14:59:16 +0000 2017	|	Pat Roberts	|	75364211	|	879715760574259200	|	null	|	Today is National #PTSD Awareness Day, a day to raise greater awareness &amp; understanding of PTSD. Learn more here:… https://t.co/1DFGqIHzrJ	|	$#%
6	|	Tue Jun 27 14:59:29 +0000 2017	|	Sen. Patrick Leahy	|	242836537	|	879715814710104064	|	null	|	'Anti-Science Know-Nothingism' – Vice Chair Leahy Slams Trump Budget To Gut #EPA, In Approps Hg W. EPA Adm. Pruitt… https://t.co/aaI5H1DL4T	|	$#%
7	|	Tue Jun 27 15:01:11 +0000 2017	|	Senator Joe Manchin	|	234374703	|	879716245628735488	|	null	|	I'm w my colleagues 2 talk about the impact the Rep #healthcarebill will have on the opioid fight in #WV WATCH LIVE: https://t.co/jQypkRrNew	|	$#%
8	|	Tue Jun 27 15:01:15 +0000 2017	|	Kamala Harris	|	30354991	|	879716262544322562	|	null	|	Here’s the thing: Healthy people can become sick people in the blink of an eye. We should make it easier to get care, not harder.	|	$#%
9	|	Tue Jun 27 15:01:49 +0000 2017	|	Richard Blumenthal	|	278124059	|	879716404643147777	|	null	|	Joining my colleagues to discuss how the GOP #healthcare bill would undo progress on the #opioid crisis. Watch here: https://t.co/xIRrbBu7xo	|	$#%
10	|	Tue Jun 27 15:04:33 +0000 2017	|	Senator Patty Murray	|	293131808	|	879717090244079616	|	null	|	Under #Trumpcare, costs will increase &amp; that won’t just hurt cities—WA’s rural areas will get hit particularly hard. https://t.co/Dk4WC8tuWD	|	$#%
11	|	Tue Jun 27 15:05:49 +0000 2017	|	Senator Dick Durbin	|	247334603	|	879717408855994369	|	null	|	MORNING READ: At its core, the @SenateGOP repeal bill is cruel and will hurt innocent families in every single state https://t.co/uyO9se96Js	|	$#%
12	|	Tue Jun 27 15:06:32 +0000 2017	|	Sen. Maggie Hassan	|	946549322	|	879717590066753536	|	null	|	I'm joining colleagues highlighting how #Trumpcare would undermine our fight against addiction. Tune in: https://t.co/izr5VEVyRW	|	$#%
13	|	Tue Jun 27 15:06:38 +0000 2017	|	Ed Markey	|	21406834	|	879717616587341824	|	null	|	A vote for #Trumpcare is a vote to perpetuate overdose deaths. I'm live w @MartinHeinrich, Michael Botticelli &amp; more https://t.co/KIfXeJZUsl	|	$#%
14	|	Tue Jun 27 15:07:37 +0000 2017	|	Senator Bob Corker	|	73303753	|	879717864189636608	|	null	|	Glad to be at the @StateDept with Secretary Tillerson and @IvankaTrump for the release of the TIP report. #EndSlaveryAct #enditmovement	|	$#%
15	|	Tue Jun 27 15:08:43 +0000 2017	|	Ed Markey	|	21406834	|	879718140195766273	|	21406834	|	@MartinHeinrich .@SenateGOP health care bill would be a death sentence for those patients suffering from opioid add… https://t.co/tBSsEKCdpg	|	$#%
16	|	Tue Jun 27 15:09:36 +0000 2017	|	Ed Markey	|	21406834	|	879718363014025216	|	21406834	|	@MartinHeinrich @SenateGOP For individuals suffering from substance use disorders, repealing #ACA isn’t about repea… https://t.co/J4mjuWOff0	|	$#%
17	|	Tue Jun 27 15:10:24 +0000 2017	|	Ed Markey	|	21406834	|	879718565242392578	|	21406834	|	@MartinHeinrich @SenateGOP Those of us from states hardest hit by plague of opioid use disorders hear time &amp; again… https://t.co/RgodrCuOUx	|	$#%
18	|	Tue Jun 27 15:12:27 +0000 2017	|	Senator Deb Fischer	|	1071402577	|	879719079132766212	|	null	|	REMINDER: Tomorrow my staff will host office hours in Thurston and Wayne Counties. Please stop by with casework Qs!	|	$#%
19	|	Tue Jun 27 15:14:30 +0000 2017	|	Ed Markey	|	21406834	|	879719593140514816	|	21406834	|	@MartinHeinrich @SenateGOP By supporting #Trumpcare, @SenateGOP are betraying families &amp; communities who have suffe… https://t.co/gvS01vaHwE	|	$#%
20	|	Tue Jun 27 15:14:49 +0000 2017	|	Sen. Maria Cantwell	|	117501995	|	879719675181113344	|	null	|	This heartless plan will drive up costs for all Americans. https://t.co/ZYcg3c1Dmx	|	$#%
21	|	Tue Jun 27 15:17:02 +0000 2017	|	Sen. Tammy Baldwin	|	1074518754	|	879720234344697856	|	null	|	ICYMI, I was on #UpFront with @MikeGousha to talk about the Senate GOP #HealthcareBill. https://t.co/U2rEL9uW27	|	$#%
22	|	Tue Jun 27 15:18:23 +0000 2017	|	Senator Bob Casey	|	171598736	|	879720571772297218	|	null	|	This is also a jobs issue. In PA, Medicaid supports 199,000 health care sector jobs held by women. https://t.co/qA1lmzfMl7	|	$#%
23	|	Tue Jun 27 15:25:13 +0000 2017	|	Senator Rand Paul	|	216881337	|	879722290308681729	|	null	|	Headed to meet with @realDonaldTrump this afternoon. The bill is currently not real repeal and needs major improvement.	|	$#%
24	|	Tue Jun 27 15:27:06 +0000 2017	|	Senator Bob Menendez	|	18695134	|	879722764415926273	|	null	|	Real ppl struggling w/ #opioid addiction will suffer just so GOP can give tax breaks to richest of the rich. WATCH: https://t.co/AFBDAQudh0	|	$#%
25	|	Tue Jun 27 15:27:17 +0000 2017	|	Senator Rand Paul	|	216881337	|	879722812772159488	|	216881337	|	@realDonaldTrump I'll discuss w/ him how to fix bill &amp; get more to a YES on real repeal, things I've tried to tell… https://t.co/jHCyuNdgZs	|	$#%
26	|	Tue Jun 27 15:27:25 +0000 2017	|	Senator Tim Kaine	|	172858784	|	879722846045556736	|	null	|	President Trump &amp; Republicans love to talk about ending the #opioid epidemic, but their #Trumpcare bill will intensify the crisis	|	$#%
27	|	Tue Jun 27 15:28:00 +0000 2017	|	Senator Tim Kaine	|	172858784	|	879722994335186944	|	172858784	|	#Trumpcare undermines the progress we’ve made on #opioid epidemic by slashing #Medicaid	|	$#%
28	|	Tue Jun 27 15:28:24 +0000 2017	|	Senator Tim Kaine	|	172858784	|	879723091584307202	|	172858784	|	Medicaid covers 3 in 10 Americans battling opioid addiction but #Trumpcare slashes funding &amp; puts millions at risk	|	$#%
29	|	Tue Jun 27 15:29:18 +0000 2017	|	Senator Joe Donnelly	|	216503958	|	879723320131846145	|	null	|	REMINDER: Joe’s staff will host a Veterans History Project 6/29 in Elkhart. https://t.co/UMNXSjHItP https://t.co/q81dcI1qmx	|	$#%
30	|	Tue Jun 27 15:32:16 +0000 2017	|	Senator Jeff Merkley	|	29201047	|	879724066353106944	|	null	|	She is a brave and beautiful girl. And yes, God loves her just as she is.
https://t.co/92ENWaTriQ	|	$#%
31	|	Tue Jun 27 15:32:27 +0000 2017	|	Tom Udall	|	60828944	|	879724113664802816	|	null	|	Exposure scientists say Chlorpyrifos is a dangerous pesticide that threatens the American public. I'm pushing EPA to act to protect families	|	$#%
32	|	Tue Jun 27 15:35:04 +0000 2017	|	Senator Pat Toomey	|	221162525	|	879724768655814656	|	null	|	Congress is not ending Medicaid expansion. https://t.co/ICzZExUWyt #MythVsFact https://t.co/oakuju6MGf	|	$#%
33	|	Tue Jun 27 15:35:21 +0000 2017	|	Tom Cotton	|	968650362	|	879724842676879360	|	null	|	I introduced legislation that would give military families with children better support and more flexibility. More: https://t.co/zF05AmSir1	|	$#%
