Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Thu May 03 21:59:00 +0000 2018	|	Ted Cruz	|	23022687	|	992161628421472256	|	null	|	How does the idea of ordering brisket from Southern California sound to Texans?

Ted Cruz has the perfect response… https://t.co/AM5MgZLK2c	|	$#%
2	|	Thu May 03 22:06:00 +0000 2018	|	Sen Dianne Feinstein	|	476256944	|	992163390264049666	|	null	|	On #WorldPressFreedomDay, let’s remember the @Reuters journalists who are being jailed in Myanmar for reporting on… https://t.co/wqG591NNFa	|	$#%
3	|	Thu May 03 22:13:09 +0000 2018	|	Tom Cotton	|	968650362	|	992165188915941376	|	null	|	Today we mourn the passing of former state senator Jim Argue. He was a great Arkansan and he will be missed.	|	$#%
4	|	Thu May 03 22:14:00 +0000 2018	|	Senator Patty Murray	|	293131808	|	992165403546746885	|	null	|	We should be doing everything to ensure all women have access to STEM education &amp; careers—and the fact that these y… https://t.co/NPujZ8q7fa	|	$#%
5	|	Thu May 03 22:15:48 +0000 2018	|	Sen. John Barrasso	|	202206694	|	992165858062544897	|	null	|	Honored to attend the Veterans Wall dedication at Central Wyoming College's Intertribal Center in Riverton today. W… https://t.co/wCiKvt0Viy	|	$#%
6	|	Thu May 03 22:25:31 +0000 2018	|	Sen. Patrick Leahy	|	242836537	|	992168303765479429	|	null	|	Woe to our nation and to the American people, and woe to other nations, when #demagogues succeed in eroding the fou… https://t.co/E09S1z8uSf	|	$#%
7	|	Thu May 03 22:33:42 +0000 2018	|	Senator Bob Menendez	|	18695134	|	992170360899547136	|	null	|	Thanks @momsdemand for delivering postcards at my South Jersey office today.… https://t.co/17bPsl7eRd	|	$#%
8	|	Thu May 03 22:35:51 +0000 2018	|	Senator Bob Menendez	|	18695134	|	992170901629210625	|	null	|	Thanks @MomsDemand for delivering postcards at my South Jersey office today. They are powerful messages about gun v… https://t.co/TAxCPiMV8h	|	$#%
9	|	Thu May 03 22:41:13 +0000 2018	|	Senator John Boozman	|	5558312	|	992172253809991680	|	null	|	Just wrapped the #TalkSmallYall Small Business Tour in @HotSpringsAR. @RepWesterman &amp; I were at a ribbon cutting &amp;… https://t.co/K2p9S2CtIn	|	$#%
10	|	Thu May 03 22:58:07 +0000 2018	|	Senator Angus King	|	1068481578	|	992176507224317952	|	null	|	Honored to join @USouthernMaine Veterans Graduation Recognition Ceremony in Portland this evening. https://t.co/O8827aDiCA	|	$#%
11	|	Thu May 03 23:00:02 +0000 2018	|	Sen. Maria Cantwell	|	117501995	|	992176987828563969	|	null	|	As our economy continues to grow, @SeaTacAirport is going to see more traffic and continued improvements are going… https://t.co/FGvYqS0RGY	|	$#%
12	|	Thu May 03 23:30:00 +0000 2018	|	Bernie Sanders	|	29442313	|	992184530478944256	|	null	|	Remember when Trump said Big Pharma was "getting away with murder"? Well Mr. President, you don't take on pharma by… https://t.co/MYUd40uCMp	|	$#%
13	|	Thu May 03 23:34:00 +0000 2018	|	Senator Patty Murray	|	293131808	|	992185536281436160	|	null	|	So encouraged by my conversation today w some of the student organizers from @MFOLseattle — the work they’re doing… https://t.co/DKDPi1Dx2Z	|	$#%
14	|	Thu May 03 23:37:00 +0000 2018	|	Sen Dianne Feinstein	|	476256944	|	992186291348484097	|	null	|	Facts and truth are essential to democracy everywhere. Journalists in many countries take great risks to bring us t… https://t.co/ibvZOUBmBR	|	$#%
15	|	Thu May 03 23:40:07 +0000 2018	|	Senator John Cornyn	|	13218102	|	992187074471256064	|	null	|	Generic GOP Candidates Win Polls in Majority of Senate Battleground States via @freebeacon https://t.co/Cpx3kvchiQ	|	$#%
16	|	Thu May 03 23:41:26 +0000 2018	|	Sheldon Whitehouse	|	242555999	|	992187409063346179	|	null	|	Amazing! A look into how seaweed can help clean up our oceans and create jobs: https://t.co/z92GyRu00D	|	$#%
17	|	Thu May 03 23:45:00 +0000 2018	|	Kirsten Gillibrand	|	72198806	|	992188304136261635	|	null	|	I sat down with Jessica Lipps from @onMogul to discuss what gave me the courage to first run for office, how I bala… https://t.co/P7d2uCWcPc	|	$#%
18	|	Thu May 03 23:52:06 +0000 2018	|	Elizabeth Warren	|	970207298	|	992190090213511168	|	null	|	I hope President Trump’s negotiations with North Korea succeed – the world will be a safer place if they do. But th… https://t.co/94TL3YhSTm	|	$#%
19	|	Thu May 03 23:57:32 +0000 2018	|	Michael F. Bennet	|	224285242	|	992191459070808064	|	null	|	Just before today’s @amazon fulfillment center grand opening in Aurora, speaking w/ GM &amp; a craftsman about local pa… https://t.co/rjMzLBCxrg	|	$#%
20	|	Fri May 04 00:03:05 +0000 2018	|	Kamala Harris	|	30354991	|	992192854620561409	|	null	|	Instead of wasting money on Donald Trump’s stupid border wall, we should invest in domestic priorities like: 

✔️ r… https://t.co/IMjJYpUWMa	|	$#%
21	|	Fri May 04 00:06:30 +0000 2018	|	Senator John Hoeven	|	382791093	|	992193714519932934	|	null	|	#Agriculture is #NorthDakota’s top industry &amp; good farm policy benefits every American, every day. At roundtable to… https://t.co/1VTIlrsSpN	|	$#%
22	|	Fri May 04 00:11:02 +0000 2018	|	Senator Ron Johnson	|	233737858	|	992194858277392384	|	null	|	All five Wisconsin Catholic bishops urged @SenatorBaldwin not to block a judicial nominee because of his beliefs. S… https://t.co/43Or4hrgWd	|	$#%
23	|	Fri May 04 00:20:11 +0000 2018	|	Claire McCaskill	|	16160352	|	992197157276078080	|	null	|	This is terrible news for Missouri.  https://t.co/IQWPAqKhQz	|	$#%
24	|	Fri May 04 00:26:48 +0000 2018	|	Senator Bob Casey	|	171598736	|	992198825040400385	|	171598736	|	They represent America's future and the racists who attacked them don't. I urge @realDonaldTrump to send a powerful… https://t.co/bnFMKNZe8N	|	$#%
25	|	Fri May 04 00:26:48 +0000 2018	|	Senator Bob Casey	|	171598736	|	992198823102566400	|	null	|	Mikayla Sharrieff, India Skinner and Bria Snell are an inspiration to our nation. We, as a country, should draw ins… https://t.co/Nsk1fw8bd6	|	$#%
26	|	Fri May 04 00:29:11 +0000 2018	|	Senator Jeff Merkley	|	29201047	|	992199423554871297	|	null	|	Today I joined @RepSchrader @RepBonamici @RonWyden to meet with officials about conditions at Chemawa Indian School… https://t.co/rCWrtDLRuT	|	$#%
27	|	Fri May 04 00:34:56 +0000 2018	|	Sen. Lamar Alexander	|	76649729	|	992200869407023104	|	null	|	Rufus is a little camera shy, but he enjoyed spending a beautiful day with me in Cookeville. https://t.co/vD3918ICeG	|	$#%
28	|	Fri May 04 00:41:08 +0000 2018	|	Senator Bill Nelson	|	20597460	|	992202430271107072	|	null	|	Had a good discussion tonight in Haines City with @RepRichmond and @RepDarrenSoto about Amendment 4 on the November… https://t.co/bnlLW0QW1N	|	$#%
29	|	Fri May 04 00:43:42 +0000 2018	|	Michael F. Bennet	|	224285242	|	992203078605688832	|	null	|	Chuck Plunkett, @denverpost editorial page editor, told hard truths and stood up for local press. His departure is… https://t.co/4I9ZslUczD	|	$#%
30	|	Fri May 04 00:49:00 +0000 2018	|	Sen Dianne Feinstein	|	476256944	|	992204410653560832	|	null	|	A free press is essential to speaking truth to power, to hold governments accountable for corruption and abuse. Our… https://t.co/kkfGONgfMV	|	$#%
31	|	Fri May 04 00:50:52 +0000 2018	|	Senator Mazie Hirono	|	92186819	|	992204881535619072	|	null	|	Connie Chung was the first Asian woman to co-anchor the nightly news on a major network. This #APAHM2018 &amp;… https://t.co/eUN0kpGKR7	|	$#%
32	|	Fri May 04 00:58:44 +0000 2018	|	Sheldon Whitehouse	|	242555999	|	992206859837820929	|	242555999	|	In Rhode Island, @RIPTA_RI is committed to reducing its carbon footprint while reducing operating costs for custome… https://t.co/ZDT2EyWN85	|	$#%
33	|	Fri May 04 01:00:00 +0000 2018	|	Sen. Maria Cantwell	|	117501995	|	992207180551114752	|	null	|	As I’ve gone around the state—from southwest Washington to @SpokaneCity to the Olympic Peninsula—I’ve heard how com… https://t.co/rJ44otjCq3	|	$#%
34	|	Fri May 04 01:00:00 +0000 2018	|	Senator Joe Donnelly	|	216503958	|	992207178898567169	|	null	|	(1/2) Joe broke through the gridlock, with Senate passage of his bipartisan regulatory relief package that is backe… https://t.co/lppMnrxYUZ	|	$#%
35	|	Fri May 04 01:03:00 +0000 2018	|	Senator Joe Donnelly	|	216503958	|	992207934221377536	|	null	|	(1/2): Joe recently sat down with business leaders in Indy to discuss the importance of this bill for main street l… https://t.co/SpuL9RJnrj	|	$#%
36	|	Fri May 04 01:08:11 +0000 2018	|	Rob Portman	|	18915145	|	992209237551075329	|	null	|	The King comes through again - along Kevin Love. Huge win for the #Cavs in Toronto!	|	$#%
37	|	Fri May 04 01:08:36 +0000 2018	|	Cory Booker	|	15808765	|	992209343129964544	|	null	|	I’m looking forward to being on tonight. Thank you. https://t.co/zlmwInnDLF	|	$#%
38	|	Fri May 04 01:14:17 +0000 2018	|	Rob Portman	|	18915145	|	992210774046191616	|	null	|	Way to go @cavs! #WhateverItTakes https://t.co/imYfbEfNne	|	$#%
39	|	Fri May 04 01:20:39 +0000 2018	|	Kirsten Gillibrand	|	72198806	|	992212377935507456	|	null	|	It was my honor to celebrate the resilient, creative &amp; hardworking @madeinnyc community. You’re showing the world t… https://t.co/NySdVJ8rZT	|	$#%
40	|	Fri May 04 01:22:05 +0000 2018	|	Kamala Harris	|	30354991	|	992212736477196288	|	null	|	We must continue to build upon the work that started 50 years ago with the Fair Housing Act and work to provide hou… https://t.co/SeuZEIMAjE	|	$#%
41	|	Fri May 04 01:31:40 +0000 2018	|	Senator Ron Johnson	|	233737858	|	992215150185910272	|	null	|	We need high-quality legal minds as federal judges. So why is @SenatorBaldwin blocking one? https://t.co/eUcKvKSOJM	|	$#%
42	|	Fri May 04 01:36:49 +0000 2018	|	Claire McCaskill	|	16160352	|	992216444959121408	|	null	|	It was so good to be with my dear friend Alvin Brooks on his 86th birthday! Thank you for all your community servic… https://t.co/DJm7soxMsd	|	$#%
43	|	Fri May 04 01:39:40 +0000 2018	|	Mark Warner	|	7429102	|	992217161308491777	|	null	|	There’s no reason you should have to leave your hometown to find a good-paying, high-tech job. With all of the tale… https://t.co/zA6Q5xbgZi	|	$#%
44	|	Fri May 04 01:55:51 +0000 2018	|	David Perdue	|	2863210809	|	992221235504394241	|	null	|	Thank you to the @Aflac family for welcoming @RepDrewFerguson &amp; me to your headquarters in Columbus today. Seeing t… https://t.co/ZkvYGS7kRh	|	$#%
45	|	Fri May 04 03:11:00 +0000 2018	|	Sen. Maria Cantwell	|	117501995	|	992240145821773824	|	null	|	The #opioidcrisis is killing too many Washingtonians, it’s killing too many Americans, and we need better tools to… https://t.co/21TUDCfX5R	|	$#%
46	|	Fri May 04 03:21:44 +0000 2018	|	Sen. Lisa Murkowski	|	18061669	|	992242845573513217	|	null	|	Today during a Palmer Rotary meeting I had the honor of presenting Janet Kincaid of Palmer with the 2017 AARP Alask… https://t.co/jAYn9AxBK9	|	$#%
47	|	Fri May 04 03:22:09 +0000 2018	|	Senator Jeff Merkley	|	29201047	|	992242954042396677	|	null	|	Congratulations to @PDXFire on the 100th anniversary of their Local 43 union! In 1918, Portland firefighters travel… https://t.co/6CFvnX8TSj	|	$#%
48	|	Fri May 04 03:22:51 +0000 2018	|	Brian Schatz	|	47747074	|	992243127472701440	|	null	|	Lava and steam confirmed, mandatory evacuations from Leilani Estates. Does anyone have an official twitter handle f… https://t.co/aWqv1Qls26	|	$#%
49	|	Fri May 04 03:25:58 +0000 2018	|	Brian Schatz	|	47747074	|	992243913921511424	|	null	|	Pahoa Community Center is now OPEN as an emergency shelter.	|	$#%
50	|	Fri May 04 03:29:55 +0000 2018	|	Sen. Maggie Hassan	|	946549322	|	992244906725920768	|	null	|	.@celtics did their jobs at the garden. Now let’s go finish this in Philly. #BackToBack https://t.co/jak736pNP1	|	$#%
51	|	Fri May 04 03:33:27 +0000 2018	|	Brian Schatz	|	47747074	|	992245794966196224	|	null	|	Per @HawaiiNewsNow National Guard activated.	|	$#%
52	|	Fri May 04 03:36:42 +0000 2018	|	Brian Schatz	|	47747074	|	992246614507995137	|	null	|	This is not just a precaution. The emergency evacuation order in Leilani Estates is because there is lava in the subdivision.	|	$#%
53	|	Fri May 04 03:43:44 +0000 2018	|	Brian Schatz	|	47747074	|	992248384378433539	|	null	|	From @HawaiiNewsNow this is live from a drone. Leilani Estates has an emergency evacuation order. https://t.co/nxbXlR1R8K	|	$#%
54	|	Fri May 04 04:31:52 +0000 2018	|	Brian Schatz	|	47747074	|	992260495359950848	|	null	|	This is real-time video from Jeremiah Osuna of Leilani Estates on the Big Island. Mandatory Evacuation of Leilani E… https://t.co/pXYZ4oXSMe	|	$#%
55	|	Fri May 04 05:02:48 +0000 2018	|	Brian Schatz	|	47747074	|	992268282152402944	|	null	|	I just got off the phone with FEMA and they are mobilizing resources for the Hawai`i Island eruption.	|	$#%
56	|	Fri May 04 05:06:09 +0000 2018	|	Brian Schatz	|	47747074	|	992269126839156737	|	null	|	I just got off the phone with FEMA and they are mobilizing resources for the Hawai`i Island lava event. They are mo… https://t.co/pRNonFaSP8	|	$#%
57	|	Fri May 04 07:45:27 +0000 2018	|	Senator Mazie Hirono	|	92186819	|	992309215325704192	|	null	|	Tonight, I spoke with Governor Ige and Mayor Kim to get an update on the state and local response to the eruption a… https://t.co/sd7KOBc8ir	|	$#%
58	|	Fri May 04 10:33:56 +0000 2018	|	Marco Rubio	|	15745368	|	992351612713783297	|	null	|	I will praise you among the peoples, Lord; I will chant your praise among the nations. For your mercy towers to the… https://t.co/4gJRdQ3i4K	|	$#%
59	|	Fri May 04 10:45:49 +0000 2018	|	Marco Rubio	|	15745368	|	992354604624105474	|	null	|	Smart move by @FLGovScott Our elections officials in #Florida are very good. But many are underestimating the threa… https://t.co/j6FJVTzEyu	|	$#%
60	|	Fri May 04 11:44:02 +0000 2018	|	Dean Heller	|	266133081	|	992369256527429633	|	null	|	#CarsonCity hosted its 17th Annual #Nevada Law Enforcement Officers Memorial Ceremony as we commemorate National… https://t.co/v3l7Ii0ma6	|	$#%
61	|	Fri May 04 12:15:01 +0000 2018	|	Dean Heller	|	266133081	|	992377050806841344	|	null	|	Have you noticed something different about E. 10th Street in #Reno? This new, quarter-mile long mural painted to in… https://t.co/mgT356DDjr	|	$#%
62	|	Fri May 04 12:23:01 +0000 2018	|	Ted Cruz	|	23022687	|	992379065045864448	|	null	|	I will continue to defend the right to keep and bear arms — and all our rights under the Constitution — as senator… https://t.co/TyPHrWqSqx	|	$#%
63	|	Fri May 04 12:30:00 +0000 2018	|	Sen. Heidi Heitkamp	|	1061029050	|	992380824321478656	|	null	|	Thank you to everyone for your kind words, thoughts &amp; prayers throughout the past several days. My mom’s memorial s… https://t.co/yMud0Xpdgn	|	$#%
64	|	Fri May 04 12:44:33 +0000 2018	|	ChuckGrassley	|	10615232	|	992384483033829379	|	null	|	Toured Prairie Lakes Church New Hampton campus. They are renovating an old… https://t.co/QQ4588PCIq	|	$#%
65	|	Fri May 04 12:53:34 +0000 2018	|	Ron Wyden	|	250188760	|	992386754341564416	|	null	|	Met with tribal leaders yesterday at Chemawa Indian School to hear their serious health and welfare concerns for st… https://t.co/yuT3tHXacL	|	$#%
66	|	Fri May 04 12:54:12 +0000 2018	|	Senator John Cornyn	|	13218102	|	992386913624580096	|	null	|	Was he Comey’s lawyer or an FBI employee?  Wouldn’t think he could be both at same time.   https://t.co/n5f0XqcB5s	|	$#%
67	|	Fri May 04 12:57:15 +0000 2018	|	Bill Cassidy, M.D.	|	55677432	|	992387683090649088	|	null	|	Good to be in the @710keel studio with @ErinMcCartyKEEL and @RJWright52 this morning. #Shreveport https://t.co/Ekb2BqkxNt	|	$#%
68	|	Fri May 04 13:03:35 +0000 2018	|	Senator Chris Coons	|	15324851	|	992389276011769856	|	null	|	Honored to deliver remarks this morning at the District of Delaware’s Bench &amp; Bar Conference. Discussed a wide rang… https://t.co/p9XQyDwf7N	|	$#%
69	|	Fri May 04 13:16:32 +0000 2018	|	Marco Rubio	|	15745368	|	992392533077647362	|	null	|	Why does #China internet repression matter? They are now punishing U.S. companies &amp; citizens. U.S. visitors to Chin… https://t.co/ESYyc5CcCw	|	$#%
70	|	Fri May 04 13:20:16 +0000 2018	|	Marco Rubio	|	15745368	|	992393475445415936	|	null	|	#China military is using lasers &amp; temporarily blinding U.S. military pilots operating in Djibouti.  https://t.co/HiiTLkXHCq	|	$#%
71	|	Fri May 04 13:33:13 +0000 2018	|	Senator Deb Fischer	|	1071402577	|	992396731395473408	|	null	|	.@NTVsSteveWhite covers my visit to @CPI_GI and how this program is helping students build careers &amp; filling the ne… https://t.co/OL6EKX6uy6	|	$#%
72	|	Fri May 04 13:34:58 +0000 2018	|	Cory Gardner	|	235217558	|	992397171101175810	|	null	|	ICYMI: My Op-Ed in the @coloradoan: National Park Restoration Act a commonsense solution to park repair backlogs
https://t.co/BHkz0yZli1	|	$#%
73	|	Fri May 04 13:49:41 +0000 2018	|	Senator Roy Blunt	|	21269970	|	992400876303249408	|	null	|	Students like Emanuel Burnette are why I worked to make Pell Grants available all year https://t.co/hrRkpHiHKv	|	$#%
74	|	Fri May 04 13:49:43 +0000 2018	|	Senator Rand Paul	|	216881337	|	992400886239498240	|	null	|	Visited @DV8Kitchen this morning in Lexington, KY. Always excited to highlight a great business focused on giving s… https://t.co/9oRRgm7Knj	|	$#%
75	|	Fri May 04 13:51:24 +0000 2018	|	Shelley Moore Capito	|	193794406	|	992401308052262912	|	null	|	Great news for American workers. Let's keep the momentum going! https://t.co/wOBoKDO2CB	|	$#%
76	|	Fri May 04 14:00:02 +0000 2018	|	Senator Joe Donnelly	|	216503958	|	992403482920587265	|	null	|	On #InternationalFirefightersDay we thank Hoosier firefighters who put their lives on the line to protect our famil… https://t.co/RVJVUqFbmP	|	$#%
77	|	Fri May 04 14:03:53 +0000 2018	|	Ted Cruz	|	23022687	|	992404450647138304	|	null	|	Thx! https://t.co/T18bIr1j7k	|	$#%
78	|	Fri May 04 14:06:08 +0000 2018	|	Pat Roberts	|	75364211	|	992405014156054528	|	null	|	I visited the Concordia Rotary &amp; Lions Club Thursday to discuss the upcoming Farm Bill. 
https://t.co/FzDxHnnn6f	|	$#%
79	|	Fri May 04 14:07:10 +0000 2018	|	Kirsten Gillibrand	|	72198806	|	992405276270714880	|	72198806	|	I introduced the SNAP for KIDS Act to fight for the right of every child to have access to healthy food. We need to… https://t.co/jaQvN8p4Zp	|	$#%
80	|	Fri May 04 14:07:10 +0000 2018	|	Kirsten Gillibrand	|	72198806	|	992405274857279490	|	72198806	|	When millions of children go to bed hungry each night and struggle to focus in schools because they haven’t had eno… https://t.co/zhyWnH0Ksu	|	$#%
81	|	Fri May 04 14:07:09 +0000 2018	|	Kirsten Gillibrand	|	72198806	|	992405273104015362	|	null	|	There’s a hunger crisis in this country, and Republicans in Congress are determined to make it worse. Their Farm Bi… https://t.co/qzilQXgeI2	|	$#%
82	|	Fri May 04 14:11:04 +0000 2018	|	Dean Heller	|	266133081	|	992406257813393408	|	null	|	#CarsonCity hosted its 21st annual #Nevada Law Enforcement Officers Memorial Ceremony as we commemorate National… https://t.co/nanaTuNU4o	|	$#%
83	|	Fri May 04 14:16:11 +0000 2018	|	Senator Gary Peters	|	236511574	|	992407546190327808	|	null	|	Toured @LEJonesCompany in Menominee. For decades L.E. Jones has manufactured quality valve seat inserts for automot… https://t.co/JPObxbqm56	|	$#%
84	|	Fri May 04 14:18:50 +0000 2018	|	Chris Murphy	|	150078976	|	992408211486539777	|	null	|	Thanks to everyone who came out to last night's town hall meeting in Wethersfield! Great to be back in the place wh… https://t.co/dfd5AyejDs	|	$#%
85	|	Fri May 04 14:19:01 +0000 2018	|	Senator Patty Murray	|	293131808	|	992408257888116738	|	null	|	This fight isn’t over. We need just one more senator to reject corporate interests and instead stand with the famil… https://t.co/CW5DrCWgp1	|	$#%
86	|	Fri May 04 14:20:37 +0000 2018	|	Sen. Debbie Stabenow	|	76456274	|	992408661287895046	|	null	|	Very sad to hear of the passing of Patty Birkholz. She was a staunch advocate for the Great Lakes and loved to brig… https://t.co/Mk3Te1xB2O	|	$#%
