Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Thu Apr 27 15:20:05 +0000 2017	|	Brian Schatz	|	47747074	|	857615338254606337	|	null	|	We still have no assistant Secretaries at Defense or State for Asia, for nonpro, Embassy Security. It's an emergenc… https://t.co/YKvltNEzOr	|	$#%
2	|	Thu Apr 27 15:20:01 +0000 2017	|	Sen. Tammy Baldwin	|	1074518754	|	857615321410093056	|	null	|	In @Politico @Morning_Ag today - Senators: Perdue Can Help Locked Out Dairy Farmers Now https://t.co/6jxalKMFRo https://t.co/CHTuhgBqtd	|	$#%
3	|	Thu Apr 27 15:20:27 +0000 2017	|	Sen Dianne Feinstein	|	476256944	|	857615433431740416	|	null	|	Always a pleasure to hear from Californians at my weekly constituent breakfast. Thanks for coming, everyone! Great… https://t.co/28QD2Xslw3	|	$#%
4	|	Thu Apr 27 15:20:55 +0000 2017	|	Sen. Heidi Heitkamp	|	1061029050	|	857615548695400448	|	null	|	Important @NewsHour piece on why Congress needs to provide a permanent fix for coal miner's health care https://t.co/azy5E9rogF	|	$#%
5	|	Thu Apr 27 15:22:15 +0000 2017	|	Senator Jeff Merkley	|	29201047	|	857615884822753280	|	null	|	The impacts of #climatechange are upon us. We cannot afford to take small, incremental steps. We need a bold vision… https://t.co/rAKGWrCmlD	|	$#%
6	|	Thu Apr 27 15:22:33 +0000 2017	|	John McCain	|	19394188	|	857615959242231808	|	null	|	.@POTUS delegating #Iraq &amp; #Syria force levels to #SecDef is good news: transparency &amp; agility, less micromanagement https://t.co/rbX9PSLCMm	|	$#%
7	|	Thu Apr 27 15:24:28 +0000 2017	|	Senator John Boozman	|	5558312	|	857616442623238144	|	null	|	Fort Smith Pastor @MartySloan served as guest chaplain &amp; delivered the opening prayer in the Senate. Hear his praye… https://t.co/lWHhCwJLDa	|	$#%
8	|	Thu Apr 27 15:29:14 +0000 2017	|	Bernie Sanders	|	29442313	|	857617644261961728	|	null	|	Donald Trump is wrong about a lot of things. But there is no area where he is more wrong than on the issue of climate change.	|	$#%
9	|	Thu Apr 27 15:32:26 +0000 2017	|	Leader McConnell	|	1249982359	|	857618449018875908	|	null	|	By bringing down #tax rates for individuals, we can help ease the burden on middle class families. #taxreform	|	$#%
10	|	Thu Apr 27 15:35:01 +0000 2017	|	Sen. Tammy Baldwin	|	1074518754	|	857619100130054145	|	null	|	This morning, I'm urging @SecretarySonny to have @USDA take immediate action to help dairy farms hurt by unfair trade barriers.	|	$#%
