Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Mon Oct 23 18:00:00 +0000 2017	|	Senator Todd Young	|	234128524	|	922523014390075395	|	null	|	Need help with a federal agency? Members of my staff will be holding mobile office hours in Marion Co. this Tuesday… https://t.co/GYTDeMbd5S	|	$#%
2	|	Mon Oct 23 18:06:48 +0000 2017	|	Ed Markey	|	21406834	|	922524723602485248	|	null	|	So proud that our great @MassAGO Healey is leading in this fight for #guncontrol. MA has some of the strongest gun… https://t.co/XNAHQw3Diy	|	$#%
3	|	Mon Oct 23 18:17:10 +0000 2017	|	Senator Bob Casey	|	171598736	|	922527331260002305	|	null	|	.@realDonaldTrump sabotage of our health care system is preventing more Americans from getting covered. https://t.co/sWpduF5Sk4	|	$#%
4	|	Mon Oct 23 18:21:02 +0000 2017	|	Senator Dick Durbin	|	247334603	|	922528305831608321	|	null	|	I pressed President Trump to protect the Bears Ears and Grand Staircase Escalante National Monuments in Utah.… https://t.co/SGDSDpIx5j	|	$#%
5	|	Mon Oct 23 18:21:36 +0000 2017	|	John McCain	|	19394188	|	922528448157011968	|	null	|	Grateful to celebrate @MeghanMcCain's birthday on @TheView today - thank you for having me &amp; happy birthday Meghan! https://t.co/9dM3L5SVNi	|	$#%
6	|	Mon Oct 23 18:21:40 +0000 2017	|	Senator Dick Durbin	|	247334603	|	922528466267930624	|	247334603	|	.@SecretaryZinke has recommended shrinking the size &amp; protections of the Bears Ears and Grand Staircase monuments. Urge @POTUS not to do so.	|	$#%
7	|	Mon Oct 23 18:22:01 +0000 2017	|	Leader McConnell	|	1249982359	|	922528553962438656	|	null	|	The #Senate, along w @POTUS, will deliver on #TaxReform by the end of the year. Let's give the American people the… https://t.co/ebs2uWyhYK	|	$#%
8	|	Mon Oct 23 18:24:17 +0000 2017	|	Richard Burr	|	21157904	|	922529124832415744	|	null	|	If you're in the Charlotte area, get your severe weather updates here and stay safe this evening:
https://t.co/Oo7csJ5Uc8	|	$#%
9	|	Mon Oct 23 18:24:42 +0000 2017	|	Senator Jon Tester	|	515822213	|	922529226657591302	|	null	|	This decision is spiking premiums that are already too high. We need bipartisan effort to lower health care costs.
https://t.co/it30mUgsIl	|	$#%
10	|	Mon Oct 23 18:26:37 +0000 2017	|	Rob Portman	|	18915145	|	922529710818635777	|	null	|	Good visit w/ @SeemaCMS today at the @ClevelandClinic to see the innovative work being done at one of the best hosp… https://t.co/7spjBQzgLH	|	$#%
11	|	Mon Oct 23 18:29:29 +0000 2017	|	Rob Portman	|	18915145	|	922530434017357824	|	null	|	Got to see an impressive demonstration of improvements being made to telemedicine which is helping to improve acces… https://t.co/dPzCEwFDch	|	$#%
12	|	Mon Oct 23 18:29:41 +0000 2017	|	Sheldon Whitehouse	|	242555999	|	922530483321393157	|	null	|	Honoring the memory of the 9 brave Marines from RI who lost their lives in the 1983 bombing of the Beirut @USMC Bar… https://t.co/Mjqgv7vdMk	|	$#%
13	|	Mon Oct 23 18:30:04 +0000 2017	|	Johnny Isakson	|	78403308	|	922530577848422400	|	null	|	I look forward to the Senate vote today at 3PM to begin debate on a supplemental funding measure for hurricane &amp; wildfire relief, recovery.	|	$#%
14	|	Mon Oct 23 18:33:01 +0000 2017	|	Sen. Jeanne Shaheen	|	109287731	|	922531320710025224	|	null	|	This is a red herring that doesn't address ANY of the fundamental underlying concerns w/ Kapsersky  https://t.co/tgTxi9iBFE	|	$#%
15	|	Mon Oct 23 18:36:43 +0000 2017	|	Pat Roberts	|	75364211	|	922532251849625600	|	null	|	We must #neverforget the lives lost on this day, beginning the War on Terror &amp; the bloodiest day for @USMC since Iw… https://t.co/WjaoqdbxFG	|	$#%
16	|	Mon Oct 23 18:38:00 +0000 2017	|	Chuck Schumer	|	17494010	|	922532574735556609	|	null	|	This Trump admin report overlooks the facts &amp; undercuts @CFPB’s attempt to stop big biz from bullying consumers. https://t.co/tfE5TJIUDs	|	$#%
17	|	Mon Oct 23 18:37:59 +0000 2017	|	John McCain	|	19394188	|	922532569794666496	|	null	|	Bill Browder is a champion of anti-corruption in #Russia. DHS must immediately review decision to revoke his visa. https://t.co/j0Pzt8t9QH	|	$#%
18	|	Mon Oct 23 18:42:20 +0000 2017	|	Shelley Moore Capito	|	193794406	|	922533666043154433	|	null	|	My staff and I are in touch w/ federal, state and local officials regarding Wood County fire.	|	$#%
19	|	Mon Oct 23 18:42:48 +0000 2017	|	Shelley Moore Capito	|	193794406	|	922533784213483522	|	193794406	|	My staff was in the area and received an update at the emergency meeting this morning	|	$#%
20	|	Mon Oct 23 18:43:02 +0000 2017	|	Shelley Moore Capito	|	193794406	|	922533843881644032	|	193794406	|	We all stand ready to help affected residents and the surrounding communities	|	$#%
21	|	Mon Oct 23 18:44:56 +0000 2017	|	Sen. Heidi Heitkamp	|	1061029050	|	922534318404186112	|	null	|	As result of bipar. bill I intro. &amp; became law, @usmint unveiled design 4 new Commemorative Coin to raise funds/awa… https://t.co/99nm9O0CHT	|	$#%
22	|	Mon Oct 23 18:45:19 +0000 2017	|	Sen. Heidi Heitkamp	|	1061029050	|	922534415078739971	|	1061029050	|	These coins are for the many women fighting this disease, those who've overcome it, those we lost &amp; the families/friends impacted	|	$#%
23	|	Mon Oct 23 18:48:32 +0000 2017	|	Johnny Isakson	|	78403308	|	922535226760458240	|	null	|	This week, @GOPSenFinance will continue our work on #TaxReform to help boost our economy, create jobs, raise wages… https://t.co/ZJU8SVkVXM	|	$#%
24	|	Mon Oct 23 18:54:55 +0000 2017	|	Tom Cotton	|	968650362	|	922536832537124864	|	null	|	Watch my discussion at the @HudsonInstitute on countering violent extremism live: https://t.co/19Q845Qivx	|	$#%
25	|	Mon Oct 23 18:55:35 +0000 2017	|	Senator Tom Carper	|	249787913	|	922537000309350400	|	null	|	Proud to join @SenBooker on this important bill https://t.co/o08l0RMTIb	|	$#%
26	|	Mon Oct 23 18:57:44 +0000 2017	|	Chuck Schumer	|	17494010	|	922537541500329985	|	null	|	More on why all NY electeds should oppose this plan &amp; fight for the NYers they represent instead of the #TrumpTax:… https://t.co/J49BOgiCSJ	|	$#%
