Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Mon May 22 14:23:48 +0000 2017	|	Joni Ernst	|	1383059977	|	866660871669415936	|	null	|	For more information, head to https://t.co/QT0XYcvzUm. 
#RoastAndRide https://t.co/d9nV9OcYhY	|	$#%
2	|	Mon May 22 14:23:58 +0000 2017	|	Richard Blumenthal	|	278124059	|	866660913646112768	|	278124059	|	Historic cruelty and catastrophic harm in Trump budget. I will fight for people he throws under the budget bus. https://t.co/EgjgoilF3N	|	$#%
3	|	Mon May 22 14:27:20 +0000 2017	|	Senator Angus King	|	1068481578	|	866661760689942528	|	null	|	WATCH LIVE: A discussion with @AARPMaine @bangorlibrary about how #AHCA will affect older, rural Maine people: https://t.co/bu4eth0K0h	|	$#%
4	|	Mon May 22 14:31:09 +0000 2017	|	Cory Booker	|	15808765	|	866662722703896576	|	null	|	Looking forward to NMM's 6th Annual Charity Golf Outing today! Can't wait for another great event @JustinTuck… https://t.co/RMIbfcRSuG	|	$#%
5	|	Mon May 22 14:38:51 +0000 2017	|	Cory Booker	|	15808765	|	866664661474848769	|	null	|	At a great Mentoring event here in Bayonne, NJ https://t.co/s5qMFsHjbT	|	$#%
6	|	Mon May 22 14:42:41 +0000 2017	|	John McCain	|	19394188	|	866665624583512064	|	null	|	I'm always flattered to receive such accolades from our Russian friends! https://t.co/O0J2d6l1W3	|	$#%
7	|	Mon May 22 14:44:33 +0000 2017	|	Ben Sasse	|	1480852568	|	866666093590462464	|	null	|	18:36... that's legit. @MikeforWI 

https://t.co/IFJFjY4g95	|	$#%
8	|	Mon May 22 14:47:53 +0000 2017	|	Ben Sasse	|	1480852568	|	866666935534198784	|	null	|	should we credit Schumer's reefer? https://t.co/GTJcmeIpSj	|	$#%
9	|	Mon May 22 14:48:50 +0000 2017	|	Ben Sasse	|	1480852568	|	866667171446784000	|	null	|	"habits are everything"
-paraphrasing Aristotle https://t.co/eF6CDmiBo2	|	$#%
10	|	Mon May 22 14:49:28 +0000 2017	|	Ben Sasse	|	1480852568	|	866667332969431040	|	null	|	my bad https://t.co/tRQkAqc4nX	|	$#%
11	|	Mon May 22 14:50:45 +0000 2017	|	Sen. Tammy Baldwin	|	1074518754	|	866667654102355968	|	null	|	Another #BrokenPromise from @realDonaldTrump, who said he would not cut Medicaid. #TrumpBudget https://t.co/sGwoXHH97z	|	$#%
12	|	Mon May 22 14:51:24 +0000 2017	|	Ben Sasse	|	1480852568	|	866667817197633536	|	null	|	understood: the turtles were just sleep-over guests. They were returned to the lake this morning before I left for… https://t.co/SoHKfO4QBc	|	$#%
13	|	Mon May 22 14:53:12 +0000 2017	|	Ben Sasse	|	1480852568	|	866668273424662528	|	null	|	Agree https://t.co/SJuJsjC6oP	|	$#%
14	|	Mon May 22 14:53:27 +0000 2017	|	John McCain	|	19394188	|	866668332333793280	|	null	|	Can't make it up... "#Turkey says summons U.S. envoy over Washington street brawl" https://t.co/neXSJVsMz9	|	$#%
15	|	Mon May 22 14:55:59 +0000 2017	|	Senator Jeff Merkley	|	29201047	|	866668973491974144	|	null	|	Great to see #SCOTUS throw out Republican gerrymandering! https://t.co/KQIgvaDksU	|	$#%
16	|	Mon May 22 14:56:24 +0000 2017	|	Ben Sasse	|	1480852568	|	866669075409154048	|	null	|	Devaney for a road trip.  TO for winning 249 games in 25 seasons - and coaching your kids https://t.co/Zd6AkagzVS	|	$#%
17	|	Mon May 22 14:57:01 +0000 2017	|	Ben Sasse	|	1480852568	|	866669231642824704	|	null	|	Many thanks. Looking forward to the podcast with you https://t.co/vBoxL8LqmE	|	$#%
18	|	Mon May 22 14:57:30 +0000 2017	|	Ben Sasse	|	1480852568	|	866669355244732416	|	null	|	(that isn't the genre) https://t.co/49q9x4WmfS	|	$#%
19	|	Mon May 22 14:58:16 +0000 2017	|	Sen. Heidi Heitkamp	|	1061029050	|	866669544500330496	|	null	|	Great discussion with folks in Bismarck about why we must maintain Medicaid &amp; we can't go backwards in health care https://t.co/bVhSV2ooBy	|	$#%
20	|	Mon May 22 15:00:31 +0000 2017	|	Ben Sasse	|	1480852568	|	866670111129649153	|	null	|	(too early in the week) https://t.co/nVNajp4azL	|	$#%
21	|	Mon May 22 15:02:00 +0000 2017	|	Senator Bob Menendez	|	18695134	|	866670486071242753	|	null	|	Now at Union County Community College (@uccweb) to launch my #JerseyJobsTour &amp; discuss my bill to prepare workers f… https://t.co/BPwTWNYOLN	|	$#%
