Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Tue Jul 25 18:35:56 +0000 2017	|	Mark Warner	|	7429102	|	889917145970331648	|	null	|	I’m going to #VoteNo for the Virginia seniors who will see higher costs or even lose their nursing home care becaus… https://t.co/E5eAyk6eV6	|	$#%
2	|	Tue Jul 25 18:36:20 +0000 2017	|	Tammy Duckworth	|	1058520120	|	889917249754198017	|	1058520120	|	Courtney was diagnosed with endometriosis, but thanks to the ACA &amp; #PlannedParenthood, was able to receive treatment &amp; today has 2 children	|	$#%
3	|	Tue Jul 25 18:36:38 +0000 2017	|	Tammy Duckworth	|	1058520120	|	889917322139447296	|	1058520120	|	The fight to protect health care isn’t over. Keep speaking out, sharing your stories &amp; making your voices heard—now is when we need it most	|	$#%
4	|	Tue Jul 25 18:36:41 +0000 2017	|	Mark Warner	|	7429102	|	889917336869883904	|	null	|	Every senator has a choice today: throw your constituents under the bus for a political “win” or do the right thing &amp; #VoteNo.	|	$#%
5	|	Tue Jul 25 18:40:04 +0000 2017	|	Sheldon Whitehouse	|	242555999	|	889918187797610496	|	null	|	Every American needs to pay attention to what's happening today. @SenateGOP is putting a bill up for vote that no one has seen.	|	$#%
6	|	Tue Jul 25 18:40:56 +0000 2017	|	Sheldon Whitehouse	|	242555999	|	889918404118884352	|	242555999	|	@SenateGOP I'll add that every Republican health care bill we have seen so far has been met w/ the opposition of vi… https://t.co/R8KKBb7iD2	|	$#%
7	|	Tue Jul 25 18:42:04 +0000 2017	|	Sheldon Whitehouse	|	242555999	|	889918691441352705	|	null	|	Wrong, Mr. President. Democrats have over &amp; over again offered to help improve our health care system. https://t.co/kEqW96U8g5	|	$#%
8	|	Tue Jul 25 18:42:50 +0000 2017	|	Senator John Hoeven	|	382791093	|	889918882777100288	|	null	|	W/ @RepKevinCramer, included funds in #Senate &amp; #House #Ag approps bills to help prevent blackbird damage to crops:… https://t.co/EkWxXJv5yy	|	$#%
9	|	Tue Jul 25 18:43:37 +0000 2017	|	Sen. Tammy Baldwin	|	1074518754	|	889919081989758977	|	null	|	Right now, the Senate is voting to move forward on partisan health care repeal that will make things worse, not better. I'm voting no.	|	$#%
10	|	Tue Jul 25 18:44:36 +0000 2017	|	Ed Markey	|	21406834	|	889919328207949824	|	null	|	On the Senate floor &amp; will vote no on the cruel &amp; inhumane #Trumpcare bill. #SaveACA 
Watch live ➡️https://t.co/VrqRMjirjU	|	$#%
11	|	Tue Jul 25 18:47:01 +0000 2017	|	Senator Patty Murray	|	293131808	|	889919935962591233	|	null	|	Sen. McConnell is launching a last-ditch effort to pass a bill we haven't seen &amp; sign people up for Trumpcare.	|	$#%
12	|	Tue Jul 25 18:57:02 +0000 2017	|	Tom Cotton	|	968650362	|	889922455682371590	|	null	|	READ: “Repeal the CFPB's Anti-Consumer Ban on Mandatory Arbitration Clauses” via @Forbes https://t.co/hYUAOfH2sV	|	$#%
13	|	Tue Jul 25 18:58:01 +0000 2017	|	Senator Chris Coons	|	15324851	|	889922705520283648	|	null	|	Today, I questioned Brian Benczkowski, nominee to be Asst. AG in the Criminal Division of the DOJ, about his ties to a Russian bank.	|	$#%
14	|	Tue Jul 25 18:58:20 +0000 2017	|	Chris Murphy	|	150078976	|	889922786478739457	|	null	|	Confirmed. https://t.co/PTrjuned5w	|	$#%
15	|	Tue Jul 25 18:58:36 +0000 2017	|	Senator Chris Coons	|	15324851	|	889922850894819329	|	15324851	|	There is a disturbing trend across the Trump Administration of nominating people whose main qualification is loyalty, with ties to Russia.	|	$#%
