Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Tue Mar 13 21:20:27 +0000 2018	|	Sen. Patrick Leahy	|	242836537	|	973670144743563265	|	null	|	Comment of Senate Appropriations Committee Vice Chairman Patrick Leahy (D-Vt.) On President Trump’s Visit To The Bo… https://t.co/nTOt02VFl8	|	$#%
2	|	Tue Mar 13 21:20:55 +0000 2018	|	Sherrod Brown	|	43910797	|	973670265023619073	|	43910797	|	Have you ever seen a regional bank give out $2 billion+ in bonuses after losing money 3 years in a row? https://t.co/gb9WLZJ2Qf	|	$#%
3	|	Tue Mar 13 21:21:18 +0000 2018	|	Rob Portman	|	18915145	|	973670359831646208	|	null	|	For too long, sex trafficking victims have been denied the justice they deserve. Now we have the opportunity here i… https://t.co/qbYgzePbTV	|	$#%
4	|	Tue Mar 13 21:23:07 +0000 2018	|	Richard Blumenthal	|	278124059	|	973670817832849408	|	278124059	|	McEntee revelations exemplify this Admin’s reckless, cavalier attitude on security. How many aides with disqualifyi… https://t.co/aJD7GSjD1H	|	$#%
5	|	Tue Mar 13 21:23:07 +0000 2018	|	Richard Blumenthal	|	278124059	|	973670815978999809	|	null	|	Fired from the White House over security concerns, then immediately hired to a top campaign role? Trump apparently… https://t.co/De9NxdO8Jm	|	$#%
6	|	Tue Mar 13 21:24:50 +0000 2018	|	Sherrod Brown	|	43910797	|	973671249267298304	|	43910797	|	How often do regional banks get caught money laundering for Russian oligarchs? https://t.co/5fCfSYaMRB	|	$#%
7	|	Tue Mar 13 21:25:22 +0000 2018	|	Sen. Lisa Murkowski	|	18061669	|	973671383850012673	|	null	|	More positive outcomes as a result of the tax reform legislation we passed in December. https://t.co/eBZ3MVYTuG	|	$#%
8	|	Tue Mar 13 21:25:21 +0000 2018	|	Senator Bob Menendez	|	18695134	|	973671380205166592	|	null	|	It’s #TimetoWakeUp to the threats of climate change. It’s time for Congress to act. 

Tonight, I will join… https://t.co/bIdaMFd90f	|	$#%
9	|	Tue Mar 13 21:25:40 +0000 2018	|	Michael F. Bennet	|	224285242	|	973671458693173248	|	null	|	APPLY TODAY: Attend the Colorado Capital Conference this summer to interact with our nation’s leaders in Washington… https://t.co/SZIBRsDTds	|	$#%
10	|	Tue Mar 13 21:25:55 +0000 2018	|	Sen. Lisa Murkowski	|	18061669	|	973671521708400653	|	null	|	More positive outcomes as a result of the tax reform legislation we passed in December. https://t.co/eBZ3MVYTuG	|	$#%
11	|	Tue Mar 13 21:27:38 +0000 2018	|	Mike Enzi	|	291756142	|	973671952870199296	|	null	|	For folks in Wyoming and across the country, tax reform has meant more money in their paychecks. What does it mean… https://t.co/SbFqIt6xxP	|	$#%
12	|	Tue Mar 13 21:29:01 +0000 2018	|	Senator Pat Toomey	|	221162525	|	973672301496594432	|	null	|	Thank you to everyone who joined me today for my telephone town hall. I greatly appreciated your questions and hear… https://t.co/emjpU2Cgij	|	$#%
13	|	Tue Mar 13 21:29:04 +0000 2018	|	Dean Heller	|	266133081	|	973672314574376962	|	null	|	Today I introduced legislation to improve Southern Nevada’s water supply and security by reauthorizing the Colorado… https://t.co/xVcu6icqHO	|	$#%
14	|	Tue Mar 13 21:30:08 +0000 2018	|	Kirsten Gillibrand	|	72198806	|	973672585417371648	|	72198806	|	We need Marie's voice in Congress fighting for health care, women and our LGBTQ friends and family. But her campaig… https://t.co/rMGmhjxOpo	|	$#%
15	|	Tue Mar 13 21:30:07 +0000 2018	|	Kirsten Gillibrand	|	72198806	|	973672579327299585	|	null	|	My friend @Marie4Congress is running in #IL03 against a Democratic incumbent named Dan Lipinski. He’s anti-choice,… https://t.co/c4375XuVbt	|	$#%
16	|	Tue Mar 13 21:30:57 +0000 2018	|	Kirsten Gillibrand	|	72198806	|	973672788912492545	|	72198806	|	Every single dollar you give now makes a difference and goes directly to GOTV efforts to help Marie defeat her anti… https://t.co/NdYDVy0ASW	|	$#%
17	|	Tue Mar 13 21:38:30 +0000 2018	|	ChuckGrassley	|	10615232	|	973674687837417474	|	null	|	fellow voices of agriculture Ag Secretary Perdue and Chairman Roberts. Can you believe it! This… https://t.co/NYbWFbs6ti	|	$#%
18	|	Tue Mar 13 21:39:24 +0000 2018	|	Senator Chris Coons	|	15324851	|	973674917093953542	|	null	|	So glad to spend some time with brilliant @AmherstCollege students today during their Government and Nonprofit Trek… https://t.co/9XAP4LgbiF	|	$#%
19	|	Tue Mar 13 21:40:25 +0000 2018	|	Sen. Maggie Hassan	|	946549322	|	973675171952414720	|	null	|	It's been more than five years since Sandy Hook. Yet time and again Congress fails to take action, and the discussi… https://t.co/nhPIBXXET2	|	$#%
20	|	Tue Mar 13 21:40:33 +0000 2018	|	Senator Roger Wicker	|	264219447	|	973675206064603136	|	null	|	Pleased to join @SenThadCochran  to announce $1.33M in @NatlParkService grants for civil rights projects in Mississ… https://t.co/18B7l8uO3q	|	$#%
21	|	Tue Mar 13 21:45:46 +0000 2018	|	Senator Mike Rounds	|	2955485182	|	973676517795516416	|	null	|	Today @USDOT announced an additional 90 day delay of ELD rules for live-load truckers. These new rules could have a… https://t.co/kddV4eWbBT	|	$#%
22	|	Tue Mar 13 21:46:07 +0000 2018	|	Elizabeth Warren	|	970207298	|	973676605020299264	|	null	|	Over the past six years, my friend @SenWhitehouse has delivered 199 speeches from the Senate floor calling on Congr… https://t.co/KQ4vE2Gum8	|	$#%
23	|	Tue Mar 13 21:46:34 +0000 2018	|	Senator Roy Blunt	|	21269970	|	973676719562547200	|	null	|	Congratulations, Marcello https://t.co/dZAQQNN3k0	|	$#%
24	|	Tue Mar 13 21:47:00 +0000 2018	|	Senator Jeff Merkley	|	29201047	|	973676827347570688	|	null	|	Powerful and sad: 7,000 pairs of shoes outside the Capitol today to symbolize the number of children killed by gun… https://t.co/j9FiE4Zk1x	|	$#%
25	|	Tue Mar 13 21:47:32 +0000 2018	|	Senator Patty Murray	|	293131808	|	973676960990793728	|	null	|	Thank you @SenWhitehouse. Now more than ever, it’s important we fight for action on climate change, for present and… https://t.co/U3lI7Miow4	|	$#%
26	|	Tue Mar 13 21:47:57 +0000 2018	|	Martin Heinrich	|	1099199839	|	973677066804781056	|	null	|	President Trump’s nomination of Gina Haspel to lead the CIA is deeply troubling. https://t.co/JPr7rJLfyr	|	$#%
27	|	Tue Mar 13 21:48:35 +0000 2018	|	Senator John Thune	|	296361085	|	973677227639439360	|	null	|	Always a good day when you spend it meeting with South Dakotans. https://t.co/3Fyuqn3FSD	|	$#%
28	|	Tue Mar 13 21:50:25 +0000 2018	|	Amy Klobuchar	|	33537967	|	973677687339454464	|	null	|	Solving this case would be a very good thing.  I visited the Mosque and saw the damage and know how hard it has bee… https://t.co/PpOwfI2dO4	|	$#%
29	|	Tue Mar 13 21:51:39 +0000 2018	|	Senator Jack Reed	|	486694111	|	973677998464552960	|	null	|	Henri Matisse noted: “Creativity takes courage.” 

I'm grateful for the creativity of RI's vibrant #arts community… https://t.co/kzTQ1OzOnZ	|	$#%
30	|	Tue Mar 13 21:55:00 +0000 2018	|	Senator Chris Coons	|	15324851	|	973678841020452864	|	null	|	Proud to stand with @SenWhitehouse this evening as we continue to take a stand against #climatechange. Tonight I jo… https://t.co/i1D7DWmo0e	|	$#%
31	|	Tue Mar 13 21:55:10 +0000 2018	|	Senator Todd Young	|	234128524	|	973678883911471104	|	null	|	The only durable solution to the humanitarian crisis in #Yemen is an end to the civil war. @joshrogin reports on th… https://t.co/QHpdKH7XQT	|	$#%
32	|	Tue Mar 13 21:56:53 +0000 2018	|	Senator Jack Reed	|	486694111	|	973679314897199105	|	null	|	.@SenWhitehouse is right: It’s #TimetoWakeUp &amp; work on a bipartisan basis to reduce pollution, grow #greenjobs, &amp; m… https://t.co/K0MRybPbfM	|	$#%
33	|	Tue Mar 13 21:57:27 +0000 2018	|	Johnny Isakson	|	78403308	|	973679458199711745	|	null	|	It was a pleasure hearing from you today! Thank you for your commitment to so many organizations in our state. https://t.co/wJ8tZpVl6N	|	$#%
34	|	Tue Mar 13 22:00:38 +0000 2018	|	Senator Tom Carper	|	249787913	|	973680257998958593	|	null	|	I’m honored to get to use the infamous #TimetoWakeUp poster. Thanks @SenWhitehouse for sharing (and for leading the… https://t.co/esyCjg1lmI	|	$#%
35	|	Tue Mar 13 22:02:18 +0000 2018	|	Senator John Thune	|	296361085	|	973680677987192832	|	null	|	Caught up with @SenPatRoberts and @SecretarySonny this afternoon. Always appreciate the opportunity to talk agricul… https://t.co/Cz6fH46tDG	|	$#%
36	|	Tue Mar 13 22:02:55 +0000 2018	|	Senator Mike Rounds	|	2955485182	|	973680834367631361	|	null	|	Filled out my bracket today and I'll be cheering for the @GoJacksMBB! #GoJacks @marchmadness #MarchMadness2018 https://t.co/TPOjSMmYPo	|	$#%
37	|	Tue Mar 13 22:03:21 +0000 2018	|	Senator Bob Menendez	|	18695134	|	973680941423001600	|	null	|	6 years since @SenWhitehouse first took to the floor to urge his colleagues to wake up to the threats of climate ch… https://t.co/GPRn9vufdZ	|	$#%
38	|	Tue Mar 13 22:03:49 +0000 2018	|	Chris Murphy	|	150078976	|	973681061875142656	|	null	|	Excited to see so many Connecticut schools planning to take part in tomorrow's #NationalSchoolWalkout. Are you part… https://t.co/6JPPXZIlOC	|	$#%
39	|	Tue Mar 13 22:04:51 +0000 2018	|	Dean Heller	|	266133081	|	973681321435435009	|	null	|	I appreciate Natalie, a #Nevadan and member of @JDRF, for meeting with me today to discuss research related to T1 d… https://t.co/bUoXi78alo	|	$#%
40	|	Tue Mar 13 22:05:16 +0000 2018	|	Sen Dianne Feinstein	|	476256944	|	973681425529606144	|	null	|	As we continue through #WomensHistoryMonth, I’d like to commemorate San Francisco’s first female African-American s… https://t.co/JIYczXgNQ3	|	$#%
41	|	Tue Mar 13 22:06:47 +0000 2018	|	Sen. Maria Cantwell	|	117501995	|	973681806884134912	|	null	|	Today I made clear to @SecretaryZinke that dangerous offshore drilling does not belong on our coast. Washington com… https://t.co/GN1QhA2v0U	|	$#%
42	|	Tue Mar 13 22:07:14 +0000 2018	|	Senator John Hoeven	|	382791093	|	973681919664812033	|	null	|	.@FMCSA today announced additional waiver from ELD rule for #Ag transportation – good news for our #farmers &amp;… https://t.co/mZRkqss0FN	|	$#%
