Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Mon May 14 19:25:04 +0000 2018	|	Sheldon Whitehouse	|	242555999	|	996109156280160259	|	null	|	Got the chance to visit the newly expanded @virginpulse recently, and heard from @RajivKumarMD on the great things… https://t.co/NmxqniUydg	|	$#%
2	|	Mon May 14 19:28:59 +0000 2018	|	Amy Klobuchar	|	33537967	|	996110141576622082	|	null	|	My thoughts are with @SenatorReid and his family. I'm praying for successful treatment and a speedy recovery.	|	$#%
3	|	Mon May 14 19:29:56 +0000 2018	|	Chuck Schumer	|	17494010	|	996110380291280896	|	null	|	Just heard news that @FLOTUS underwent surgery today. Sincere wishes for her speedy recovery.	|	$#%
4	|	Mon May 14 19:31:42 +0000 2018	|	Sen. Debbie Stabenow	|	76456274	|	996110824690339840	|	null	|	On Friday, President Trump talked about the need to crack down on gag clauses, which prevent pharmacists from telli… https://t.co/iKhkz2yBTZ	|	$#%
5	|	Mon May 14 19:31:38 +0000 2018	|	Senator Roy Blunt	|	21269970	|	996110809045590016	|	null	|	#SGF native Chase Snider ran for 500 days straight to raise funds &amp; awareness for @StJude https://t.co/PxntN8A3bT	|	$#%
6	|	Mon May 14 19:32:06 +0000 2018	|	Senator Ben Cardin	|	109071031	|	996110926372851714	|	null	|	This is the result of a sustained and coordinated federal-state effort to recognize the success of Maryland's uniqu… https://t.co/MDBEpsVY0E	|	$#%
7	|	Mon May 14 19:32:03 +0000 2018	|	Sen. Debbie Stabenow	|	76456274	|	996110913878020101	|	76456274	|	Passing our bipartisan legislation is one step we can take immediately to help address the outrageous cost of presc… https://t.co/pQHnkTa0rZ	|	$#%
8	|	Mon May 14 19:32:43 +0000 2018	|	Senator Mike Rounds	|	2955485182	|	996111081536925696	|	null	|	Wishing @FLOTUS a full and speedy recovery. https://t.co/dWKyahtaCf	|	$#%
9	|	Mon May 14 19:39:55 +0000 2018	|	Senator Gary Peters	|	236511574	|	996112892889051136	|	236511574	|	The administration should be focused on doing whatever it takes to help the families exposed to these dangerous che… https://t.co/vUzRPjV7oB	|	$#%
10	|	Mon May 14 19:39:54 +0000 2018	|	Senator Gary Peters	|	236511574	|	996112891702018049	|	null	|	Scott Pruitt’s EPA and the Trump White House tried to cover up a study on water contamination that harms Michigan f… https://t.co/dkrkCLChSZ	|	$#%
11	|	Mon May 14 19:44:28 +0000 2018	|	Ed Markey	|	21406834	|	996114039066513409	|	null	|	I tried to stump the students on @WGBH's @HS_QuizShow with this question about a landmark moment in protecting the… https://t.co/HLDZxVYbt8	|	$#%
12	|	Mon May 14 19:44:26 +0000 2018	|	Sen Dianne Feinstein	|	476256944	|	996114028857643010	|	null	|	The Clean Air Act has improved our air quality for the last 50 years. It’s vital we protect it.  I will continue to… https://t.co/erhTlcadxZ	|	$#%
13	|	Mon May 14 19:44:53 +0000 2018	|	Senator Bob Menendez	|	18695134	|	996114145086001152	|	null	|	Even without a golden ticket, @elementstruffle founder Alak Vasa let me see how her company's chocolate is made at… https://t.co/UyYJGwYtaV	|	$#%
14	|	Mon May 14 19:46:14 +0000 2018	|	Chris Van Hollen	|	18137749	|	996114483306270728	|	null	|	Harry is one of the strongest people I’ve met. He is a fighter in everything he does, and I know that he’ll face th… https://t.co/YddrWrTbli	|	$#%
15	|	Mon May 14 19:48:35 +0000 2018	|	Martin Heinrich	|	1099199839	|	996115075487424513	|	null	|	We’re demanding answers from @DeptofDefense on the decision to remove the security risks of #climatechange from thi… https://t.co/WEyUMqn9pc	|	$#%
16	|	Mon May 14 19:50:16 +0000 2018	|	Senator John Boozman	|	5558312	|	996115498717892609	|	null	|	It's #NationalPoliceWeek. Thank you to our law enforcement community for all they do to protect and serve our famil… https://t.co/KPdyV4SUTQ	|	$#%
17	|	Mon May 14 19:51:48 +0000 2018	|	Chris Murphy	|	150078976	|	996115884203757569	|	null	|	Republicans continued efforts to sabotage the health care system are causing prices to go up for everyone. 
https://t.co/a2YdaxQmYZ	|	$#%
18	|	Mon May 14 19:56:35 +0000 2018	|	Sen. Maggie Hassan	|	946549322	|	996117087243395073	|	null	|	Wishing @SenatorReid a swift recovery. https://t.co/HxsykbOl45	|	$#%
19	|	Mon May 14 20:00:18 +0000 2018	|	Senator Deb Fischer	|	1071402577	|	996118021931503620	|	null	|	This Congress, the Senate has confirmed 21 circuit court judges. Read more about this generational change on our co… https://t.co/iSyyQC5qP6	|	$#%
20	|	Mon May 14 20:02:02 +0000 2018	|	Rob Portman	|	18915145	|	996118459271409665	|	null	|	It’s #NationalPoliceWeek this week. I am proud to honor the men and women who put their lives on the line every day… https://t.co/eXqRnaTwsA	|	$#%
