created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
Wed Feb 15 15:47:04 +0000 2017	|	John McCain	|	19394188	|	831892590618357760	|	null	|	Appreciate @aplusk @thorn &amp; @ecmassimino @humanrights1st's commitment to the #enditmovement &amp; support of… https://t.co/x64gcKgIbq	|	$#%
Wed Feb 15 15:49:31 +0000 2017	|	Senator Rand Paul	|	216881337	|	831893207659249665	|	null	|	Today @ 1PM I'm holding a press conference w/ @RepSanfordSC &amp; members of the @freedomcaucus on Obamacare replacement https://t.co/35gEbtshOB	|	$#%
Wed Feb 15 15:50:32 +0000 2017	|	Senator Chris Coons	|	15324851	|	831893465520865280	|	null	|	Thank you @aplusk @ecmassimino  for joining the #SFRC today to discuss the importance of the #EndSlaveryAct… https://t.co/28v0Yhp6a9	|	$#%
Wed Feb 15 15:55:28 +0000 2017	|	Sen. John Barrasso	|	202206694	|	831894704623120387	|	null	|	News this week of another exit of a major insurer from exchange makes today’s #Obamacare market stabilization rule all the more critical.	|	$#%
Wed Feb 15 15:56:39 +0000 2017	|	Sen. John Barrasso	|	202206694	|	831895003559505920	|	null	|	Market stabilization rule is a first step of many as we work w/new admin to bring relief to millions of Americans. https://t.co/AphbcSJ51X	|	$#%
Wed Feb 15 16:00:31 +0000 2017	|	Tom Cotton	|	968650362	|	831895977095266305	|	null	|	READ “Hold detainees, senators urge” via @ArkansasOnline https://t.co/CsDjBfFyKU	|	$#%
Wed Feb 15 16:01:04 +0000 2017	|	Senator Jim Risch	|	1096059529	|	831896115972829186	|	null	|	On @NewsHour: It is very dangerous &amp; un-American to leak. It puts people's lives in jeopardy &amp; endangers the US.… https://t.co/Elj2VMBPTy	|	$#%
Wed Feb 15 16:02:59 +0000 2017	|	Sen. Lisa Murkowski	|	18061669	|	831896596061229059	|	null	|	Always an honor to address the National Congress of Indian Affairs. https://t.co/HMDZaeYX98	|	$#%
Wed Feb 15 16:02:58 +0000 2017	|	Ed Markey	|	21406834	|	831896592403804161	|	null	|	I just voted NO on this Republican effort to weaken background checks on gun sales. #StopGunViolence https://t.co/p37i0wBJ6c	|	$#%
Wed Feb 15 16:03:05 +0000 2017	|	Senator Joe Donnelly	|	216503958	|	831896622376300546	|	null	|	Joe hosted a coffee for Hoosiers visiting D.C., this morning. https://t.co/4Oazn1VRHp	|	$#%
Wed Feb 15 16:04:48 +0000 2017	|	Chris Murphy	|	150078976	|	831897054259589120	|	null	|	#ICYMI - The uninsured rate just hit a record low of 8.6%. Before the Affordable Care Act it was at 16%	|	$#%
Wed Feb 15 16:05:58 +0000 2017	|	Tammy Duckworth	|	1058520120	|	831897349324734464	|	null	|	Had a great meeting w IL Community College Trustees. I’ll keep working 2make #highereducation more accessible&amp;affor… https://t.co/Rg0xhGTEU8	|	$#%
Wed Feb 15 16:07:21 +0000 2017	|	Senator Bob Menendez	|	18695134	|	831897694784348160	|	null	|	WATCH SOON: Discussion w/ Ashton Kutcher on using technology to fight human trafficking &amp; end #ModernSlavery… https://t.co/bGUUJnClKV	|	$#%
