Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Tue Mar 21 03:12:00 +0000 2017	|	Kamala Harris	|	30354991	|	844023760319647744	|	null	|	I’ve joined my colleagues to introduce a bill that would rescind Trump’s order to construct the border wall. 
https://t.co/q26FovcZ8G	|	$#%
2	|	Tue Mar 21 02:38:02 +0000 2017	|	Senator Jon Tester	|	515822213	|	844015213263425536	|	null	|	We need answers from the @WhiteHouse on Flynn’s vetting process. My letter to OMB has not been answered.… https://t.co/3sqPGJOvS6	|	$#%
3	|	Tue Mar 21 02:32:49 +0000 2017	|	Chris Van Hollen	|	18137749	|	844013900492427265	|	null	|	Our next Supreme Court Justice must follow the tradition of the Constitution, and ensure equal rights, justice, and… https://t.co/9Vmvk6bDAa	|	$#%
4	|	Tue Mar 21 01:48:51 +0000 2017	|	Pat Roberts	|	75364211	|	844002835910053888	|	null	|	Thanks to our neighboring communities for helping today. https://t.co/uLiw3ICFM0	|	$#%
5	|	Tue Mar 21 01:48:04 +0000 2017	|	Pat Roberts	|	75364211	|	844002637292933120	|	null	|	Be vigilant OP. https://t.co/w7TBmJRJ2u	|	$#%
6	|	Tue Mar 21 01:38:01 +0000 2017	|	Senator Jon Tester	|	515822213	|	844000111210512384	|	null	|	I’ve been fighting to close security clearance loopholes &amp; prevent insider threats—that includes General Flynn.… https://t.co/1bEJnTUqbc	|	$#%
7	|	Tue Mar 21 01:19:00 +0000 2017	|	Kamala Harris	|	30354991	|	843995323550892032	|	null	|	“To: EPA Staff. From: America. Thank you so much for all you do. You save lives. You make the world better.”
https://t.co/Usb3CxaqQd	|	$#%
8	|	Tue Mar 21 01:13:39 +0000 2017	|	Elizabeth Warren	|	970207298	|	843993979070959618	|	970207298	|	Transparency, pressure &amp; activism work. But we’re going to need a whole lot more of it to make @usedgov work for students.	|	$#%
9	|	Tue Mar 21 01:12:02 +0000 2017	|	Lindsey Graham	|	432895323	|	843993572168929280	|	null	|	South Carolina Sen. Lindsey Graham appeals to Democrats to vote for 'qualified' Supreme Court nominee Gorsuch https://t.co/VZdi5wl3K9	|	$#%
10	|	Tue Mar 21 01:12:00 +0000 2017	|	Senator Patty Murray	|	293131808	|	843993562408615936	|	null	|	We must protect the progress we’ve made &amp; continue life-saving research being pioneered in Washington state #budget https://t.co/rPsPMtMzrU	|	$#%
11	|	Tue Mar 21 01:11:07 +0000 2017	|	Elizabeth Warren	|	970207298	|	843993341670965248	|	970207298	|	The DeVos aide who resigned last week? His dad happened to run the student loan company that sued @usedgov about that pro-borrower policy.	|	$#%
12	|	Tue Mar 21 01:09:32 +0000 2017	|	Elizabeth Warren	|	970207298	|	843992939978211332	|	970207298	|	The damage has already been done. @usedgov announced it would let student loan companies charge some struggling students outrageous fees.	|	$#%
13	|	Tue Mar 21 01:08:47 +0000 2017	|	Lindsey Graham	|	432895323	|	843992752463527936	|	null	|	Lindsey Graham dares Democrats to explain why Neil Gorsuch is 'not qualified' https://t.co/1jhaf3WvDz	|	$#%
14	|	Tue Mar 21 01:07:51 +0000 2017	|	Elizabeth Warren	|	970207298	|	843992516542251008	|	970207298	|	The same day I wrote to DeVos about her aides’ obvious conflicts, one of them apparently resigned. https://t.co/KIw0enbJ8O	|	$#%
15	|	Tue Mar 21 01:05:55 +0000 2017	|	Elizabeth Warren	|	970207298	|	843992032150458369	|	970207298	|	I asked Betsy DeVos why 2 of her key aides are fmr for-profit college execs with massive conflicts of interest. https://t.co/NGc3oJGERM	|	$#%
16	|	Tue Mar 21 01:04:39 +0000 2017	|	Elizabeth Warren	|	970207298	|	843991712326467584	|	null	|	Education Secretary Betsy DeVos apparently thinks her job is to hand @usedgov over to people who want to bilk students.	|	$#%
17	|	Tue Mar 21 10:09:19 +0000 2017	|	JohnCornyn	|	13218102	|	844128783951126528	|	null	|	A jr. rodeo star taken too soon. My prayers are with the Faust family as they mourn the loss of young Piper. 
https://t.co/dKwE3GSTCV	|	$#%
18	|	Tue Mar 21 11:09:09 +0000 2017	|	Senator Chris Coons	|	15324851	|	844143839321448449	|	null	|	Ready to join @1450WILM and @stuntbrain Mike Opelka. Tune in!	|	$#%
19	|	Tue Mar 21 11:41:00 +0000 2017	|	Senator Roy Blunt	|	21269970	|	844151855504474112	|	null	|	Look forward to joining @jallman971 on Allman in the Morning at 7:35 am CT. Tune in this morning here https://t.co/6cVoQRRvjj	|	$#%
20	|	Tue Mar 21 12:23:59 +0000 2017	|	Senator Dick Durbin	|	247334603	|	844162672539172864	|	null	|	Coming up on @Morning_Joe I'll talk about Donald Trump's #SCOTUS nominee and more in a busy week in Washington.	|	$#%
21	|	Tue Mar 21 12:34:50 +0000 2017	|	Mark Warner	|	7429102	|	844165401080664064	|	null	|	On now with @Morning_Joe discussing the bipartisan investigation into #Russia https://t.co/oGTbVvGz8y	|	$#%
22	|	Tue Mar 21 12:50:49 +0000 2017	|	Senator Bob Corker	|	73303753	|	844169424739467265	|	null	|	Great to talk with the Memphis-Shelby County Airport Authority yesterday about economic growth in the Memphis area. https://t.co/ZW8BRENCMA	|	$#%
23	|	Tue Mar 21 12:51:35 +0000 2017	|	Senator Thom Tillis	|	2964174789	|	844169618474319872	|	null	|	Joining @Varneyco on @FoxBusiness at 9am ET to discuss #SCOTUS nominee Neil Gorsuch.	|	$#%
24	|	Tue Mar 21 13:11:22 +0000 2017	|	Martin Heinrich	|	1099199839	|	844174595343204354	|	null	|	Doctors oppose #TrumpCare because it will harm their patients via @voxdotcom https://t.co/H9pkWzteWv	|	$#%
