Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Tue Jan 16 17:56:51 +0000 2018	|	Mike Lee	|	88784440	|	953325190448107520	|	null	|	Pres. Nelson is a dedicated servant who has spent decades tirelessly working alongside his brothers &amp; sisters both… https://t.co/qSXCgaIseD	|	$#%
2	|	Tue Jan 16 17:57:17 +0000 2018	|	Mike Lee	|	88784440	|	953325297956524033	|	null	|	I look forward to his deliberate devotion being applied to all as he takes on his new responsibilities as Pres. of… https://t.co/kKLtnqS1uW	|	$#%
3	|	Tue Jan 16 17:59:30 +0000 2018	|	Sen. Lisa Murkowski	|	18061669	|	953325855878545408	|	null	|	As chairman of our Energy &amp; Natural Resources Committee, I had the opportunity to question Dr. Fatih Birol, Executi… https://t.co/QR4Op37Smz	|	$#%
4	|	Tue Jan 16 17:59:47 +0000 2018	|	Senator Thom Tillis	|	2964174789	|	953325927039225857	|	null	|	Joining @HARRISFAULKNER on @FoxNews @OutnumberedFNC to discuss #DACA at 1:00 p.m. ET. Tune in!	|	$#%
5	|	Tue Jan 16 18:00:04 +0000 2018	|	Senator Jeff Merkley	|	29201047	|	953325997176315906	|	null	|	They can change the words, but they can't change the facts. We have scientific consensus—we KNOW climate disruption… https://t.co/gprbNlX2jU	|	$#%
6	|	Tue Jan 16 18:00:31 +0000 2018	|	Sen. Lisa Murkowski	|	18061669	|	953326112993628160	|	null	|	As chairman of our Energy &amp; Natural Resources Committee, I had the opportunity to question Dr. Fatih Birol, Executi… https://t.co/rXNqsdfBi7	|	$#%
7	|	Tue Jan 16 18:03:47 +0000 2018	|	Ed Markey	|	21406834	|	953326933227589632	|	null	|	If you don’t see your senator’s name, they could be the 51st vote that allows us to pass my CRA to restore a free a… https://t.co/c4XiBc3jVt	|	$#%
8	|	Tue Jan 16 18:04:49 +0000 2018	|	Senator Roger Wicker	|	264219447	|	953327192079044608	|	null	|	Mississippi is a trusted partner for our military. Read more about the recent successes of our state’s military per… https://t.co/fpeRzCVBND	|	$#%
9	|	Tue Jan 16 18:07:57 +0000 2018	|	Richard Blumenthal	|	278124059	|	953327982101319680	|	278124059	|	I’m pressing VA for a detailed explanation of this deeply troubling report. America’s veterans deserve nothing less… https://t.co/Ky7VkMr0jq	|	$#%
10	|	Tue Jan 16 18:07:57 +0000 2018	|	Richard Blumenthal	|	278124059	|	953327980809478144	|	null	|	Stunning and appalling. This horrific negligence should never happen to anyone, much less a veteran. https://t.co/mD1N20Noqn	|	$#%
11	|	Tue Jan 16 18:08:40 +0000 2018	|	Bernie Sanders	|	29442313	|	953328161227444224	|	29442313	|	We can and must protect our country from the serious potential of another terrorist attack without living in an Orw… https://t.co/5Ht64ycD5Q	|	$#%
12	|	Tue Jan 16 18:08:39 +0000 2018	|	Bernie Sanders	|	29442313	|	953328159814049793	|	null	|	I will vote no on reauthorizing Section 702 of the Foreign Intelligence Surveillance Act. The bill as written gives… https://t.co/1YEyKsD1uN	|	$#%
13	|	Tue Jan 16 18:15:14 +0000 2018	|	Senator John Boozman	|	5558312	|	953329813372243970	|	null	|	Great to hear that @RegionsNews will be using savings from #TaxReform to increase wages, give to charity and make s… https://t.co/XhRlSUT0zm	|	$#%
14	|	Tue Jan 16 18:16:55 +0000 2018	|	Senator Bob Menendez	|	18695134	|	953330236376190976	|	null	|	It is a new day in New Jersey as Governor Phil Murphy takes the helm and leads our state with working families at t… https://t.co/LVul4kIrI8	|	$#%
15	|	Tue Jan 16 18:20:17 +0000 2018	|	Sen. Maggie Hassan	|	946549322	|	953331085601067008	|	null	|	Places like Safe Harbor Recovery Center are on the front lines of combating the opioid crisis, and we must do more… https://t.co/9OVB6SgYaB	|	$#%
16	|	Tue Jan 16 18:20:17 +0000 2018	|	Sheldon Whitehouse	|	242555999	|	953331084762275840	|	null	|	.@LindseyGrahamSC just gave amazing remarks in Judiciary. Bravo, LOG. His remarks went well towards reopening the p… https://t.co/IpA49UcEPA	|	$#%
17	|	Tue Jan 16 18:21:12 +0000 2018	|	Steve Daines	|	11651202	|	953331316761776129	|	null	|	The first freedom protected under the Bill of Rights is religious freedom, giving every American the right to be fr… https://t.co/ofAk6oEIVy	|	$#%
18	|	Tue Jan 16 18:21:37 +0000 2018	|	Senator Pat Toomey	|	221162525	|	953331421422243841	|	null	|	This #ReligiousFreedomDay, we are reminded of our founding principle that no American shall be persecuted for pract… https://t.co/NtqD6yIGFH	|	$#%
19	|	Tue Jan 16 18:23:26 +0000 2018	|	Ed Markey	|	21406834	|	953331877204590592	|	null	|	.@Pontifex is right. Prayers alone won’t save us from an inadvertent nuclear war. Let's take a step away from the b… https://t.co/CSaKFQ2tEI	|	$#%
20	|	Tue Jan 16 18:24:57 +0000 2018	|	Brian Schatz	|	47747074	|	953332261398593536	|	null	|	I want anyone who is worried about marijuana policy to remember that every single Senate Republican voted for Jeff Sessions.	|	$#%
21	|	Tue Jan 16 18:26:05 +0000 2018	|	Sen. Tammy Baldwin	|	1074518754	|	953332545344626689	|	null	|	It’s been nearly 3 months since the Trump administration declared the #opioid epidemic a public health emergency. T… https://t.co/ZSo1bupZSa	|	$#%
22	|	Tue Jan 16 18:26:45 +0000 2018	|	Tom Cotton	|	968650362	|	953332711598559233	|	null	|	ICYMI – I joined @HughHewitt this morning to discuss immigration. LISTEN: https://t.co/CyE8O9IvLW	|	$#%
23	|	Tue Jan 16 18:31:00 +0000 2018	|	Senator Jeff Merkley	|	29201047	|	953333782630879233	|	null	|	Even with control over both chambers and every branch of government, the GOP is STILL struggling to get to a deal t… https://t.co/6Wbk7MCXex	|	$#%
24	|	Tue Jan 16 18:33:20 +0000 2018	|	Chris Van Hollen	|	18137749	|	953334371238498309	|	18137749	|	The United States must do everything possible to prevent these attacks in the future by establishing harsh conseque… https://t.co/tVNP79HuNi	|	$#%
25	|	Tue Jan 16 18:33:20 +0000 2018	|	Chris Van Hollen	|	18137749	|	953334368096878592	|	null	|	While the 2016 election may have left our country divided on many issues, it exposed one critical problem that shou… https://t.co/0EZjdwf9UB	|	$#%
26	|	Tue Jan 16 18:42:34 +0000 2018	|	Johnny Isakson	|	78403308	|	953336693884678144	|	null	|	ATL-based Delta Air Lines credits #TaxReform for an expected reduction in its cash tax burden and a boost in earnin… https://t.co/t6dX1Cafqh	|	$#%
27	|	Tue Jan 16 18:47:11 +0000 2018	|	Sheldon Whitehouse	|	242555999	|	953337855677550593	|	null	|	Who knew? Trump effect: despite "the worst Senate map that any party has faced ever,” it’s "the wave versus the map… https://t.co/3UTmcZDs5M	|	$#%
28	|	Tue Jan 16 18:50:00 +0000 2018	|	Sen. Tammy Baldwin	|	1074518754	|	953338564841844737	|	null	|	We now have 50 votes in the Senate to restore #NetNeutrality. With 1 more vote we can make sure the internet remain… https://t.co/yhagBvqpDs	|	$#%
29	|	Tue Jan 16 18:57:45 +0000 2018	|	Pat Roberts	|	75364211	|	953340514899722241	|	null	|	I had a nice visit with Senator Bob Dole's family here to see @SenatorDole receive the Congressional Gold Award, th… https://t.co/d6ZFFLt90t	|	$#%
30	|	Tue Jan 16 18:58:33 +0000 2018	|	Lindsey Graham	|	432895323	|	953340716213788672	|	null	|	Speaking tomorrow at @AEI on Congress and the 2018 national security landscape with @marcthiessen. Will address how… https://t.co/ZMICBav5MZ	|	$#%
31	|	Tue Jan 16 18:58:40 +0000 2018	|	Chris Murphy	|	150078976	|	953340743770353665	|	null	|	I wrote in Sunday's @rep_am about my bipartisan effort to strengthen our Buy American laws and create manufacturing… https://t.co/fiX3JrM7pS	|	$#%
32	|	Tue Jan 16 19:00:30 +0000 2018	|	Rob Portman	|	18915145	|	953341207199014913	|	null	|	Thank you for having me! Enjoyed having the opportunity to meet w/ such impressive #Ohio workers. I look forward to… https://t.co/OplhjmK8Ll	|	$#%
33	|	Tue Jan 16 19:01:01 +0000 2018	|	Senator Jon Tester	|	515822213	|	953341336370823168	|	null	|	I recently met w/ folks from Leadership Billings, a nonpartisan group of local business professionals making a big… https://t.co/SP7Ed9rp8O	|	$#%
34	|	Tue Jan 16 19:02:47 +0000 2018	|	Tom Udall	|	60828944	|	953341780862398464	|	null	|	BIG NEWS: With 50 senators in support of restoring #NetNeutrality, we only need ONE more Republican vote to save th… https://t.co/hVwslQJopP	|	$#%
