Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Mon Apr 23 21:03:10 +0000 2018	|	Senator Rand Paul	|	216881337	|	988523697886711808	|	216881337	|	Having received assurances from President Trump and Director Pompeo that he agrees with the President on these impo… https://t.co/Qv9yC8okNd	|	$#%
2	|	Mon Apr 23 21:03:17 +0000 2018	|	Ed Markey	|	21406834	|	988523730526666753	|	null	|	Mike Pompeo does not embody the best of American values, nor does he appear willing to stand up to @realDonaldTrump… https://t.co/d2aslhT26F	|	$#%
3	|	Mon Apr 23 21:04:15 +0000 2018	|	Sen. Maggie Hassan	|	946549322	|	988523970608713729	|	null	|	Ensuring that students have access to accurate and comprehensive information about outcomes at colleges is critical… https://t.co/EmgmxzRw9t	|	$#%
4	|	Mon Apr 23 21:05:01 +0000 2018	|	Sen. James Lankford	|	225921757	|	988524165706772480	|	null	|	MUST READ → @WashingtonPost Editorial Board: "Mike Pompeo should be deployed to Foggy Bottom in the hope that he wi… https://t.co/9hMQMzNeNL	|	$#%
5	|	Mon Apr 23 21:05:20 +0000 2018	|	Sen. Maggie Hassan	|	946549322	|	988524243326504960	|	946549322	|	Read more about the bipartisan College Transparency Act, which I'm cosponsoring to help modernize the way data from… https://t.co/UYm8RZJDCF	|	$#%
6	|	Mon Apr 23 21:06:55 +0000 2018	|	Senator John Boozman	|	5558312	|	988524642242580480	|	null	|	Drug Take Back Day is Saturday, 4/28. There will be sites across the country &amp; in #AR to drop-off unneeded Rx drugs… https://t.co/5ajO9TPEdF	|	$#%
7	|	Mon Apr 23 21:11:31 +0000 2018	|	Ron Wyden	|	250188760	|	988525799421734914	|	null	|	Health care discrimination has been a hallmark of @realDonaldTrump's agenda. This time, he's allowing health provid… https://t.co/6s8OYluFGT	|	$#%
8	|	Mon Apr 23 21:17:02 +0000 2018	|	Senator Ben Cardin	|	109071031	|	988527189955096577	|	null	|	Today I joined my colleagues in calling on the Trump Administration to halt its plans to expand junk health insuran… https://t.co/l1feTQABOq	|	$#%
9	|	Mon Apr 23 21:20:23 +0000 2018	|	Bill Cassidy	|	55677432	|	988528032905297920	|	null	|	It was nice to meet Assistant Deputy Minister Marquis of Quebec in New Orleans this weekend https://t.co/Xk0p7Bt0qv	|	$#%
10	|	Mon Apr 23 21:20:33 +0000 2018	|	Senator Roger Wicker	|	264219447	|	988528072822583298	|	null	|	Mike Pompeo should be confirmed as our next Secretary of State. Purely partisan obstruction of @POTUS nominees is n… https://t.co/lr3YAMQrEg	|	$#%
