Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Thu Mar 09 22:28:10 +0000 2017	|	Senator Jeff Merkley	|	29201047	|	839966067464286208	|	null	|	Another misplaced priority: #TrumpCare slashes $1b prevention fund, but includes tax giveaway for wealthy!? https://t.co/apANF0imxb	|	$#%
2	|	Thu Mar 09 22:28:24 +0000 2017	|	Senator Angus King	|	1068481578	|	839966122325803008	|	null	|	Great to meet with Lily Tedford of South Portland and Katie Waeldner of Yarmouth, Maine’s 2017 delegates to the… https://t.co/ojxRf7xZfy	|	$#%
3	|	Thu Mar 09 22:29:57 +0000 2017	|	Chris Murphy	|	150078976	|	839966512249274368	|	null	|	Important piece from @NEJM on how #Trumpcare would make things worse for people suffering from addiction https://t.co/gw9kaGQe3g	|	$#%
4	|	Thu Mar 09 22:30:01 +0000 2017	|	Ed Markey	|	21406834	|	839966532373368832	|	null	|	#Medicaid isn’t just a line in our health care budget, it is a lifeline for millions of seniors in every U.S. state https://t.co/ejn4BBRVTH	|	$#%
5	|	Thu Mar 09 22:31:06 +0000 2017	|	Senator Rand Paul	|	216881337	|	839966802922856449	|	null	|	Tonight on @FoxNews at 9pm with @edhenry. Conservatives hate Obamacare Lite legislation. Give us free market soluti… https://t.co/N0L647jR1k	|	$#%
6	|	Thu Mar 09 22:31:51 +0000 2017	|	Mark Warner	|	7429102	|	839966994292178945	|	null	|	Asked @SecShulkin to figure out discrepancies on wait times @DeptVetAffairs medical centers revealed by IG report… https://t.co/Wsa715hGgW	|	$#%
7	|	Thu Mar 09 22:32:31 +0000 2017	|	Cory Booker	|	15808765	|	839967160738983937	|	null	|	I'm so looking forward to doing your podcast. https://t.co/NsUv9RKrdw	|	$#%
8	|	Thu Mar 09 22:32:52 +0000 2017	|	Senator Jeff Merkley	|	29201047	|	839967248672497666	|	29201047	|	America, guess whether #Trumpcare will help you or not. https://t.co/oBvjj9Zfbf https://t.co/JvOt39ztIn	|	$#%
9	|	Thu Mar 09 22:34:34 +0000 2017	|	Leader McConnell	|	1249982359	|	839967674738302978	|	null	|	It has your name on it for a reason. You're welcome any time, @SenatorDole. https://t.co/nfUWGXVbiQ	|	$#%
10	|	Thu Mar 09 22:35:19 +0000 2017	|	Senator Roger Wicker	|	264219447	|	839967862999638017	|	null	|	Today the Senate voted for local school boards over a Natl School Board, working to overturn Obama’s #education reg. https://t.co/W3rzBXZIy7	|	$#%
