created_at	username	userid	tweet_id_str	in_reply_to_user_id	text
Fri Feb 03 12:16:15 +0000 2017	Senator Bob Casey	171598736	827490883083845633	null	This isn't over. We have up to 30 hours of debate to convince one more Senate Republican that Betsy DeVos is the wr… https://t.co/C71Ak3eu8e
Fri Feb 03 12:34:17 +0000 2017	Claire McCaskill	16160352	827495420972654592	null	In case you haven't figured it out yet, there is no replace.
Fri Feb 03 12:39:56 +0000 2017	Claire McCaskill	16160352	827496845979029504	null	Oh yes, there is definitely a repeal coming. But as it turns out the replace part was a cruel fraud. https://t.co/jWsqrAkn05
Fri Feb 03 12:49:48 +0000 2017	Chris Murphy	150078976	827499326331052032	null	WH aide just refused to confirm on NPR whether Trump considers Islam to be a real religion. Not joking. 

But no, it's not a Muslim ban.
Fri Feb 03 12:54:01 +0000 2017	Senator Roy Blunt	21269970	827500386944745474	null	This morning I’ll be joining @ej_becker and @ellennewsgirl on @KMBZradio at 7:40 CT. Tune in here: https://t.co/7yUpARZnLe
Fri Feb 03 13:00:28 +0000 2017	John McCain	19394188	827502011230871552	null	Heartbroken Vladimir Kara-Murza, my dear friend &amp; true Russian patriot, is suffering in hospital in #Moscow https://t.co/Rc7DZ8BfzR
Fri Feb 03 13:00:57 +0000 2017	John McCain	19394188	827502132903436288	null	Must-read @washingtonpost: "An activist is mysteriously ill in #Russia, and the U.S. needs to speak up" https://t.co/MoUvt5a0gA
Fri Feb 03 13:02:40 +0000 2017	Ben Sasse	1480852568	827502565948538883	null	#BlessYerHeart https://t.co/4L6if8N98R
Fri Feb 03 13:07:13 +0000 2017	Ben Sasse	1480852568	827503712000163843	null	"career politician"... Or, just got here -- and have never run for anything before...

But whatev's... Enjoy your#A… https://t.co/LO7pM26hav
Fri Feb 03 13:10:00 +0000 2017	Ben Sasse	1480852568	827504412625076224	null	#NFCnorthUnity https://t.co/oq0cZCK0D7
Fri Feb 03 13:28:17 +0000 2017	John McCain	19394188	827509010161090561	null	Must-read @WSJ: "Putin’s Bad #Ukraine Deal" https://t.co/J8Z4jLUcW8
Fri Feb 03 13:32:49 +0000 2017	Ben Sasse	1480852568	827510152148418562	null	TBH, Iintentionally go listen at shrill protests, question factless hacks, etc. Recovering civil discourse requires… https://t.co/4WBrAJB1T4
Fri Feb 03 13:45:54 +0000 2017	Ben Sasse	1480852568	827513443582349312	null	Thanks. Agree, it's part of this calling https://t.co/WfDuxSsNDu
Fri Feb 03 13:47:30 +0000 2017	Ben Sasse	1480852568	827513847263150082	null	Thanks for the thoughtful response. Have a good day.  (Flight lifting... Going home) https://t.co/wPAMt8hvdg
Fri Feb 03 13:51:47 +0000 2017	Ben Sasse	1480852568	827514927288053762	null	The President is on Twitter? https://t.co/tEyIlN4z0o
