Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Fri Apr 13 14:35:35 +0000 2018	|	Martin Heinrich	|	1099199839	|	984802283170025473	|	null	|	This is what clean energy leadership looks like. https://t.co/8m18OX7m5T	|	$#%
2	|	Fri Apr 13 14:38:38 +0000 2018	|	Amy Klobuchar	|	33537967	|	984803049901355008	|	null	|	I’ll take Minnesota April snow over this any day (as in it’s a good day not to be in Washington): Comey compares Tr… https://t.co/pKSF1A7z8v	|	$#%
3	|	Fri Apr 13 14:39:42 +0000 2018	|	Ron Wyden	|	250188760	|	984803320186507264	|	null	|	Cannot wait for the @trailblazers to start their #NBAPlayoffs tomorrow night against New Orleans. Ready for a deep,… https://t.co/D8tTF3gFPU	|	$#%
4	|	Fri Apr 13 14:41:40 +0000 2018	|	Senator Ben Cardin	|	109071031	|	984803812534824961	|	null	|	Elections have consequences. I encourage young people to get involved. Register to vote when old enough. Vote on El… https://t.co/95UGVG5ZMH	|	$#%
5	|	Fri Apr 13 14:41:37 +0000 2018	|	Sen. Lamar Alexander	|	76649729	|	984803799557705729	|	null	|	Congratulations to the #Preds on winning game 1! #StandWithUs #Smashville https://t.co/1RYjaSKASV	|	$#%
6	|	Fri Apr 13 14:48:17 +0000 2018	|	Mike Enzi	|	291756142	|	984805479959416834	|	291756142	|	What I heard from officials in a recent meeting has led me to believe they’re hearing us and that’s a positive step. https://t.co/jrMqd3wDWB	|	$#%
7	|	Fri Apr 13 14:48:17 +0000 2018	|	Mike Enzi	|	291756142	|	984805478432681984	|	null	|	.@SenJohnBarrasso, @RepLizCheney and I each get requests from veterans who want help with their health care. We wan… https://t.co/FHvilUaEmm	|	$#%
8	|	Fri Apr 13 14:49:26 +0000 2018	|	Senator Angus King	|	1068481578	|	984805766786895873	|	null	|	Some special visitors this week– my legislative assistant Morgan brought in her new baby boy and her family. We are… https://t.co/qGs8w6ugkj	|	$#%
9	|	Fri Apr 13 14:53:21 +0000 2018	|	Tina Smith	|	941000686275387400	|	984806755162091520	|	null	|	Rod Carew, Kirby Puckett, and now, Joe Mauer. Congratulations to our hometown hero on joining the 2,000-hit club wi… https://t.co/nj2MYxeXen	|	$#%
10	|	Fri Apr 13 14:56:19 +0000 2018	|	Amy Klobuchar	|	33537967	|	984807498182950918	|	null	|	Joe Mauer got his 2,000th hit! What a week for Minnesota sports. @Twins https://t.co/jrLYylsbiK	|	$#%
11	|	Fri Apr 13 15:00:18 +0000 2018	|	Steve Daines	|	11651202	|	984808502538338304	|	null	|	Hundreds of franchisees give employee bonuses and wage increases #taxcuts https://t.co/sFy6tUA5Wb	|	$#%
12	|	Fri Apr 13 15:02:21 +0000 2018	|	Chuck Schumer	|	17494010	|	984809019570294786	|	null	|	.@SpeakerRyan &amp; I have different definitions of “good week”:
❌Corporate buy backs at all-time high
❌ Devon Energy &amp;… https://t.co/mseVSzcQ6C	|	$#%
13	|	Fri Apr 13 15:03:21 +0000 2018	|	Chuck Schumer	|	17494010	|	984809268858773506	|	17494010	|	Read @USATODAY and you’ll find with the #GOPTaxScam, “the sharing of wealth hasn’t been as generous as hoped.”  https://t.co/wegRyzvy65	|	$#%
